95-Am-242(n,total fission) ENDF/B-VII.1
26.0504,33.4008
26.1474,34.4246
26.2563,38.3063
26.3585,44.7687
26.4532,54.0576
26.5339,65.6116
26.6138,81.7857
26.6953,104.766
26.7944,142.103
26.9162,190.106
26.9911,207.015
27.0335,209.621
27.1246,201.197
27.4145,155.679
27.6364,101.674
27.7212,87.1881
27.7967,79.6658
27.896,76.2323
27.9791,77.9905
28.0899,85.9142
28.2422,104.777
28.4183,127.359
28.5925,142.514
28.7656,163.259
28.8283,164.453
29.0206,159.137
29.1991,144.268
29.2403,143.764
29.368,148.701
29.4411,142.567
29.5461,126.18
29.5779,124.244
29.655,128.001
29.7522,134.838
29.8202,130.797
29.9425,116.534
30.1231,103.3
30.3194,79.6109
30.4239,72.5093
30.5766,65.3824
30.7514,53.5161
30.8362,51.495
30.8504,51.4723
30.9358,51.8477
31.0306,50.0525
31.1649,44.8836
31.2045,44.4011
31.2729,45.4234
31.3786,50.6747
31.4892,56.7461
31.5555,58.1523
31.655,56.0167
31.7756,51.0703
31.8792,49.1685
32.0878,47.159
32.1757,46.3176
32.2852,46.7339
32.3685,45.4998
32.5417,37.0492
32.5991,35.5166
32.6278,35.3451
32.6924,36.3659
32.8322,40.6694
32.853,40.8242
32.9447,39.1887
33.052,36.1663
33.0912,35.7676
33.1811,36.7118
33.3056,41.319
33.5827,57.3907
33.7925,72.9351
33.8525,74.627
34.0,71.9578
34.0827,75.0231
34.1866,80.6124
34.2043,80.757
34.2807,78.0742
34.3864,73.6107
34.4035,73.5671
34.5064,77.3207
34.8049,94.5945
34.9917,114.373
35.0359,115.565
35.1055,114.977
35.1922,119.059
35.307,129.837
35.3338,130.654
35.4104,127.436
35.5416,117.051
35.5662,116.76
35.6316,120.131
35.7542,138.872
35.8495,153.208
35.9258,157.178
36.1603,148.14
36.1781,148.133
36.2786,149.115
36.3824,146.027
36.4812,135.506
36.7354,96.8667
36.8523,84.6948
36.9287,81.5444
36.9557,81.5288
37.09,84.4054
37.2286,81.6061
37.3009,84.6268
37.3954,97.1388
37.5019,111.871
37.567,114.86
37.6963,109.364
37.8982,96.4038
38.1694,70.3566
38.3052,62.0981
38.448,57.0009
38.5786,55.4579
38.7198,57.4512
38.9865,65.193
39.2065,76.735
39.24,77.1404
39.4031,72.3208
39.4424,73.014
39.6029,84.5283
39.6318,84.9328
39.7725,81.4262
39.9363,84.2155
40.0373,80.8956
40.1951,71.0285
40.4016,66.518
40.571,54.4878
40.6447,52.3406
40.6586,52.3278
40.7621,53.3847
40.8406,51.5975
40.9272,47.2142
40.9725,46.151
41.0218,47.3422
41.1626,57.918
41.1989,58.7299
41.3215,56.676
41.4752,60.582
41.6845,57.6606
41.8511,53.9729
42.2412,41.6776
42.3221,41.0333
42.405,42.4033
42.5752,47.9322
42.6062,48.1917
42.677,46.9421
42.7908,40.9288
42.9052,34.4795
42.9806,31.6653
43.0,31.1641
43.0,42.7749
46.5,47.7655
50.75,59.2808
55.0,72.2831
62.5,58.9097
70.0,49.1396
83.6871,45.3615
90.0,43.619
107.598,39.3764
110.0,38.7972
130.0,32.6039
150.0,29.7522
179.329,32.2942
180.0,32.3523
215.195,31.0223
225.0,30.6518
268.994,27.4564
275.0,27.0202
300.0,23.6623
325.0,20.9456
375.0,19.1428
448.324,17.5873
450.0,17.5518
537.989,15.8869
550.0,15.6596
657.542,14.5321
700.0,14.087
836.871,13.7097
900.0,13.5356
1075.98,12.5846
1100.0,12.4548
1300.0,11.5675
1500.0,10.7867
1793.3,9.89347
1800.0,9.87305
2151.95,9.08736
2250.0,8.86848
2689.94,8.15884
2750.0,8.06197
3250.0,7.45464
3750.0,6.97711
4483.24,6.43342
4500.0,6.42099
5379.88,5.93885
5500.0,5.87304
6575.42,5.45846
7000.0,5.29478
8368.71,4.94015
9000.0,4.77658
10759.8,4.46152
11000.0,4.41851
13000.0,4.15497
15000.0,3.95244
17932.9,3.72844
18000.0,3.72332
21519.5,3.53571
22500.0,3.48344
27283.2,3.3088
27283.2,3.34012
30000.0,3.22151
50000.0,2.96938
90000.0,2.8513
100000.0,2.77401
446540.0,2.256
780000.0,1.8819
1000000.0,1.7704
1300000.0,1.7189
1750000.0,1.82345
2050000.0,1.8809
2500000.0,1.8952
3550000.0,1.83135
5200000.0,1.6805
5950000.0,1.7128
6850000.0,1.8931
8050000.0,2.19995
1.05E7,2.4303
1.25E7,2.5213
1.65E7,2.4264
2.0E7,2.2001
