92-U-233(n,total fission) ENDF/B-VII.1
17.6366,20.6403
17.6857,23.5259
17.725,27.062
17.7643,32.2552
17.8036,39.812
17.8429,50.3744
17.9043,72.1088
17.9483,87.1359
17.9851,94.5059
18.0026,95.5094
18.0379,92.397
18.0849,80.6355
18.1466,63.353
18.1883,55.7306
18.2188,52.8512
18.2376,52.1333
18.2846,53.3863
18.3259,57.5672
18.381,66.7421
18.4685,84.3827
18.5138,89.9747
18.5385,90.8478
18.6374,86.0843
18.664,87.5106
18.6983,94.76
18.7241,105.244
18.7555,124.568
18.7934,157.669
18.8509,223.288
18.91,290.051
18.949,317.486
18.9723,323.657
18.9979,320.902
19.0442,294.045
19.17,174.674
19.2219,137.195
19.2699,111.752
19.3208,92.1974
19.3837,75.4544
19.4396,65.1692
19.5195,55.255
19.6193,47.762
19.7391,43.038
19.847,41.351
19.883,41.2184
20.0117,42.4204
20.1404,46.7918
20.2262,52.5157
20.2905,59.3343
20.3549,69.6259
20.4201,85.2141
20.499,111.597
20.5694,135.176
20.6105,142.984
20.6346,144.078
20.6757,139.553
20.7358,121.872
20.8272,89.9324
20.8889,74.6233
20.9426,66.172
21.0069,60.3801
21.0841,57.4795
21.1184,57.1554
21.2214,58.7272
21.3249,63.6248
21.4309,72.6812
21.5045,82.6915
21.5781,98.0798
21.6333,115.639
21.6885,141.495
21.7459,180.124
21.849,265.391
21.8857,285.685
21.9254,293.271
21.9722,284.074
22.0436,258.181
22.0815,253.423
22.1202,261.434
22.1607,285.487
22.2156,340.433
22.2918,429.009
22.3338,459.38
22.3547,464.827
22.392,456.586
22.448,408.316
22.5529,282.806
22.6126,227.899
22.6744,188.336
22.7426,159.326
22.8319,134.947
22.9524,113.835
23.2291,77.9659
23.3435,67.4592
23.4299,64.3928
23.4934,65.6801
23.5725,71.7289
23.7251,89.7294
23.7929,92.8449
23.8607,89.7211
24.0473,67.4443
24.1382,60.3083
24.4139,48.0651
24.5392,41.6736
24.6332,38.5132
24.7272,37.5558
24.8212,39.0374
24.9152,43.4666
24.9778,48.8569
25.0251,55.0576
25.0803,65.9784
25.1257,79.0289
25.2438,122.836
25.2892,131.591
25.3008,132.103
25.3459,127.23
25.4077,108.535
25.4759,86.9871
25.5285,75.8196
25.581,69.2158
25.6652,64.046
26.0059,56.5325
26.2824,52.2714
26.2982,52.2525
26.3816,53.3662
26.4595,57.6809
26.5373,66.6433
26.6155,76.0179
26.6474,77.3688
26.6937,75.1605
26.7519,66.6281
26.8442,50.8316
26.9019,44.1312
26.9827,38.6827
27.0905,35.0576
27.2521,32.6806
27.3707,32.2002
27.5162,32.8824
27.6724,35.3146
27.9095,42.0539
28.125,49.6328
28.2155,55.4526
28.3204,64.4815
28.3513,65.4468
28.4009,63.3095
28.5075,50.6571
28.5477,49.0939
28.5773,50.0979
28.6386,56.3515
28.7782,77.2593
28.8806,97.9014
29.0302,133.631
29.0814,140.383
29.1081,141.302
29.1593,137.423
29.2207,124.28
29.3557,86.107
29.4185,73.602
29.4543,68.8973
29.5256,64.1256
29.6177,60.5099
29.6724,54.505
29.7915,33.3413
29.8318,28.0766
29.8666,25.1175
29.9013,23.3963
29.9477,22.4317
29.9709,22.3158
30.0636,23.0812
30.1555,24.9488
30.252,28.0714
30.3283,31.7965
30.4166,38.2108
30.5105,48.1225
30.5988,60.8917
30.7297,84.7408
30.7785,88.7445
30.7827,88.7834
30.8281,85.745
30.8827,74.8906
30.9703,52.8144
31.0149,44.6999
31.0531,40.6028
31.0928,39.0858
31.0996,39.0792
31.1333,39.9827
31.2007,45.2073
31.3221,56.8392
31.3985,60.4235
31.4473,60.9095
31.5962,59.713
31.6902,61.7002
31.7618,66.9685
31.8246,75.9748
31.8847,90.0091
32.014,131.546
32.0609,139.367
32.0729,139.713
32.1126,135.351
32.1607,119.9
32.2661,72.914
32.3066,58.8827
32.3472,48.7572
32.3913,41.5623
32.4353,37.285
32.4794,34.986
32.5474,33.9054
32.6194,34.8593
32.7154,38.4551
32.8407,46.1399
33.0201,58.8493
33.1306,63.9513
33.2589,65.7598
33.4844,64.6975
33.6641,66.7373
33.8988,75.4029
34.3932,95.9938
34.5564,102.549
34.6444,99.0174
34.7562,85.1141
34.8697,70.3322
34.9685,62.6255
35.0904,57.9037
36.036,40.024
36.1812,38.7902
36.2608,39.5504
36.3231,42.2623
36.3698,46.9617
36.4087,53.7392
36.4554,66.091
