64-Gd-153(n,&gamma;) ENDF/B-VII.1
27.9541,79.3777
27.9785,62.7454
28.004,49.7008
28.0295,40.0586
28.0589,31.9873
28.0898,25.9043
28.127,20.7319
28.1687,16.6557
28.2152,13.4552
28.2693,10.8069
28.325,8.84844
28.39,7.18773
28.4573,5.93008
28.5362,4.84711
28.6282,3.93153
28.7365,3.16008
28.8603,2.53494
28.9917,2.06165
29.1464,1.66429
29.3205,1.34774
29.51,1.10235
29.7227,0.905724
29.9664,0.744504
30.268,0.604356
30.5929,0.499375
30.9178,0.424202
31.3819,0.348863
31.846,0.297038
32.4029,0.253745
33.1454,0.215194
34.0427,0.186162
35.0947,0.166317
36.3632,0.155519
36.9776,0.154341
38.1188,0.15921
38.9747,0.170007
39.7672,0.187709
40.528,0.215796
41.162,0.252729
41.7326,0.303572
42.1764,0.362815
42.5647,0.43787
42.8976,0.53002
43.2066,0.652742
43.4563,0.793345
43.6901,0.978124
43.8842,1.19398
44.0507,1.44886
44.2171,1.80403
44.3558,2.21944
44.4747,2.71025
44.5856,3.34129
44.6847,4.12299
44.7679,5.02726
44.8487,6.2461
44.9153,7.64482
44.9723,9.29124
45.0231,11.2996
45.0706,13.9263
45.1102,16.9944
45.1435,20.5344
45.1752,25.1272
45.2069,31.4463
45.2386,40.2091
45.2672,50.9302
45.2957,65.1119
45.3274,85.8237
45.3623,115.489
45.4035,159.943
45.516,301.586
45.562,339.821
45.5999,350.364
45.6361,340.337
45.6761,308.875
45.7442,225.766
45.8092,144.516
45.8496,104.034
45.8817,78.9378
45.9115,60.9524
45.942,46.9829
45.9709,37.1245
45.9994,29.8814
46.0311,23.9668
46.0644,19.4703
46.104,15.6538
46.1437,12.9252
46.1928,10.4916
46.2499,8.48613
46.3164,6.82809
46.3893,5.53371
46.4702,4.49966
46.5668,3.61309
46.6778,2.89142
46.8046,2.30868
46.9433,1.85747
47.1018,1.49169
47.2643,1.22267
47.4544,0.995111
47.6605,0.817889
47.9141,0.662132
48.1994,0.538928
48.5322,0.438837
48.8968,0.36267
49.3406,0.298874
49.7844,0.254815
50.355,0.216005
50.9256,0.189503
51.6864,0.16606
52.5106,0.150173
53.7786,0.136888
54.9832,0.131848
55.4904,0.131356
57.2937,0.135658
59.1274,0.148266
60.88,0.170701
62.18,0.197459
63.3175,0.232411
64.3412,0.279888
65.105,0.33252
65.755,0.396995
66.34,0.480411
66.86,0.589252
67.2663,0.711827
67.6075,0.856107
67.9366,1.05248
68.2291,1.30289
68.485,1.6167
68.6841,1.95958
68.8831,2.44081
69.0416,2.97839
69.1837,3.64403
69.3138,4.48813
69.4275,5.51405
69.525,6.72599
69.6103,8.17812
69.6956,10.2116
69.7688,12.7126
69.8272,15.5568
69.876,18.8715
69.9166,22.6717
69.9573,27.9241
69.9938,34.4977
70.0255,42.2156
70.058,52.795
70.0905,66.9213
70.1246,86.6278
70.1588,112.436
70.1961,148.795
70.2408,204.021
70.305,302.211
70.3895,437.204
70.4363,493.002
70.4844,521.61
70.4999,523.409
70.5468,506.2
70.5943,458.005
70.6771,330.57
70.7523,212.829
70.797,155.951
70.8372,115.615
70.8737,87.4892
70.9095,66.7774
70.942,52.69
70.9761,41.6782
71.0127,33.09
71.0492,26.8812
71.0899,21.9025
71.137,17.7989
71.1858,14.7619
71.2442,12.129
71.3092,10.0134
71.3921,8.08004
71.475,6.68647
71.5725,5.48573
71.6862,4.4717
71.8163,3.63991
71.9584,2.9865
72.1169,2.46144
72.3159,1.99479
72.515,1.66557
72.7384,1.40037
73.0066,1.17492
73.3031,1.00166
73.6687,0.857456
74.1075,0.747059
74.5625,0.67743
75.05,0.635745
75.83,0.614306
76.7039,0.637958
77.558,0.702629
78.496,0.825126
79.3167,0.992315
80.0554,1.21298
80.712,1.49855
81.2631,1.83891
81.7555,2.26445
82.1777,2.76975
82.5763,3.43105
82.9515,4.30574
83.2798,5.38864
83.5612,6.69525
83.825,8.41973
84.0536,10.5325
84.2412,12.9385
84.4253,16.2207
84.5848,20.2118
84.7243,25.0845
84.8392,30.6094
84.9541,38.2803
85.0432,46.5238
