48-Cd-113(n,&gamma;) ENDF/B-VII.1
55.6383,0.383161
55.6806,0.453546
55.7228,0.550815
55.7598,0.66685
55.7968,0.821657
55.8338,1.02597
55.8782,1.35136
55.9257,1.81131
55.9849,2.54355
56.1159,4.40014
56.1725,4.96311
56.23,5.17148
56.2773,5.02569
56.3297,4.56386
56.416,3.39373
56.5005,2.21452
56.5528,1.62761
56.594,1.26504
56.6347,0.988799
56.6748,0.784182
56.7171,0.62676
56.7541,0.525987
56.7963,0.441492
56.847,0.370039
56.9062,0.313246
56.9738,0.269513
57.0584,0.233198
57.182,0.200147
57.3035,0.180352
57.4979,0.162352
57.7515,0.151847
58.0051,0.148947
58.3854,0.152524
58.9137,0.167926
59.4315,0.193817
59.9492,0.233549
60.3718,0.281651
60.7416,0.342187
61.0842,0.422764
61.374,0.521202
61.632,0.646782
61.8365,0.7866
62.041,0.983134
62.2045,1.20446
62.3506,1.47852
62.4733,1.79525
62.593,2.22339
62.6952,2.73465
62.7829,3.34267
62.8588,4.07222
62.9289,5.02128
62.9873,6.15687
63.034,7.45008
63.0779,9.1768
63.1173,11.4057
63.1532,14.2841
63.1848,17.7703
63.2163,22.4878
63.2479,28.8319
63.2806,37.617
63.3098,47.7957
63.3448,63.4544
63.3822,84.8128
63.4266,116.657
63.4967,178.693
63.5878,261.828
63.6392,295.284
63.6907,309.979
63.6996,310.307
63.7514,299.039
63.8122,261.0
63.9646,123.168
64.0137,87.1107
64.0505,65.6424
64.0832,50.4871
64.1159,38.6479
64.1451,30.4727
64.1743,24.1595
64.2071,18.8472
64.2386,15.074
64.2701,12.283
64.3075,9.88524
64.3449,8.16932
64.3917,6.64867
64.4477,5.38935
64.5061,4.46712
64.5762,3.67109
64.6639,2.96294
64.7661,2.38096
64.8683,1.96266
64.991,1.5978
65.1312,1.2986
65.2802,1.06903
65.4642,0.865337
65.6745,0.701174
65.9198,0.567516
66.1769,0.46936
66.504,0.382747
66.8779,0.316142
67.2868,0.267111
67.7775,0.228092
68.35,0.199331
68.8407,0.183674
69.7753,0.167887
70.6165,0.163777
71.6611,0.168034
73.0447,0.185891
74.2453,0.214012
75.3471,0.252987
76.2653,0.29923
77.1693,0.363074
78.0169,0.447873
78.7796,0.556927
79.4153,0.685113
79.9944,0.848428
80.5171,1.05702
80.8985,1.27657
81.0567,1.41954
81.2064,1.63673
81.481,2.15633
81.6104,2.26019
81.6952,2.27012
81.7121,2.27007
81.9155,2.33264
82.1076,2.57482
82.3817,3.13906
82.65,3.92968
82.8709,4.83939
83.0641,5.93163
83.2447,7.33618
83.3977,8.97026
83.5463,11.1635
83.6687,13.6631
83.7806,16.8062
83.8846,20.8945
83.9711,25.6875
84.0446,31.397
84.1058,38.0526
84.1652,47.2379
84.2177,58.9321
84.2649,73.9518
84.3068,92.5712
84.3435,114.496
84.3855,148.131
84.4275,193.546
84.4712,256.459
84.514,336.272
84.566,459.552
84.6329,657.951
84.7806,1143.74
84.8478,1292.92
84.9094,1341.27
84.9632,1304.35
85.0254,1178.59
85.1216,876.33
85.216,565.128
85.2754,403.71
85.3226,302.056
85.3672,227.279
85.4105,172.135
85.4498,134.385
85.4913,104.676
85.5307,83.8985
85.5744,67.0016
85.6198,54.3455
85.6723,43.9523
85.7247,36.5191
85.7929,29.6259
85.8716,24.0448
85.966,19.3329
86.0639,15.8358
86.1863,12.6915
86.3087,10.4177
86.4616,8.35506
86.6365,6.67717
86.8157,5.43783
87.0255,4.38471
87.2615,3.53204
87.5369,2.81929
87.8297,2.27526
88.1794,1.81084
88.5291,1.47664
88.9487,1.18617
89.425,0.950985
89.9353,0.770921
90.481,0.631578
91.1011,0.515142
91.8393,0.416771
92.5285,0.350584
93.3161,0.295173
94.3006,0.246678
95.3133,0.214003
96.2415,0.197885
96.551,0.196504
96.9476,0.200337
97.3048,0.215763
97.4736,0.232893
97.6142,0.259007
97.7197,0.293706
97.8041,0.340093
97.8773,0.403908
97.9363,0.480191
97.9954,0.587303
98.0601,0.749807
98.1304,0.988542
98.2134,1.34983
98.3737,2.11552
98.4457,2.35176
98.5193,2.44042
98.5965,2.34386
98.6832,2.03997
98.8758,1.12294
98.9462,0.853467
99.0123,0.659757
99.0741,0.526984
99.1388,0.42893
99.2064,0.359384
99.2907,0.303614
99.3751,0.268836
99.4876,0.240262
99.6002,0.222581
99.8252,0.202873
100.129,0.191472
100.433,0.188439
100.781,0.191775
101.13,0.203883
101.352,0.221824
101.491,0.245846
101.574,0.27369
101.648,0.316253
101.706,0.371416
101.757,0.4429
101.808,0.543671
101.86,0.68086
101.921,0.900481
101.991,1.22386
102.16,2.11263
102.237,2.38879
102.301,2.46435
102.37,2.37252
102.446,2.09215
102.639,1.09612
102.701,0.842916
102.759,0.658279
102.811,0.53952
102.862,0.454457
102.92,0.389149
102.979,0.348062
103.043,0.321066
103.108,0.305749
103.236,0.292969
103.368,0.291109
103.763,0.310089
104.218,0.356769
104.653,0.42603
105.031,0.514337
105.323,0.611182
105.588,0.734656
105.767,0.856521
105.899,0.99332
106.005,1.16529
106.103,1.41092
106.198,1.75055
106.462,2.98792
106.568,3.28731
106.657,3.35693
106.87,3.23348
106.953,3.29177
107.043,3.52046
107.149,4.04651
107.24,4.76454
107.315,5.62031
107.389,6.80234
107.455,8.34794
107.508,10.1368
107.554,12.3453
107.597,15.1878
107.635,18.7225
107.674,23.5112
107.713,29.9789
107.754,39.0772
107.792,50.3801
107.833,66.6057
107.876,88.214
107.927,120.762
107.983,165.693
108.074,255.625
108.183,365.501
108.257,417.864
108.323,436.686
108.33,436.842
108.391,423.323
108.457,381.788
108.558,284.096
108.664,176.528
108.727,125.009
108.777,91.6217
108.823,68.1762
108.865,51.6141
108.903,40.0415
108.939,31.4533
108.977,24.7704
109.015,19.7665
109.053,16.0355
109.097,12.8557
109.141,10.5581
109.192,8.67968
109.255,7.04519
109.325,5.79918
109.404,4.79367
109.499,3.92776
109.603,3.23725
109.736,2.60429
