96-Cm-245(n,total fission) ENDF/B-VII.1
21.0814,80.6729
21.1442,101.648
21.2056,129.537
21.2774,172.811
21.397,254.452
21.4407,273.829
21.4813,280.226
21.5193,274.827
21.5848,244.159
21.7172,158.845
21.7862,125.484
21.8537,102.753
21.9211,87.4363
21.9982,76.057
22.0945,67.3878
22.2583,58.9568
22.7624,37.9461
22.9434,32.5408
23.1012,29.6614
23.2589,28.3944
23.3115,28.3175
23.4873,29.3099
23.6631,32.3105
23.818,36.8183
24.006,44.8587
24.3822,66.5515
24.5026,75.8587
24.5556,83.1661
24.5965,92.8743
24.6292,105.754
24.6578,123.271
24.6848,147.462
24.7143,184.428
24.7535,250.38
24.8075,347.445
24.8401,383.271
24.8593,388.848
24.8863,375.097
24.9161,334.71
24.9958,184.515
25.0254,141.086
25.0535,110.533
25.079,90.552
25.1082,74.5047
25.1374,63.4114
25.1761,53.4124
25.2243,45.184
25.2805,38.7065
25.3535,32.9141
25.4557,27.4121
25.5671,23.3108
25.6994,19.93
25.847,17.393
25.9682,16.0511
26.0975,15.3176
26.146,15.2594
26.2671,15.8833
26.3338,17.0017
26.3994,19.1806
26.4429,21.7098
26.4833,25.4669
26.5186,30.5682
26.5489,36.9447
26.5812,46.4456
26.6166,60.4291
26.7034,101.81
26.739,112.092
26.7594,113.804
26.7891,110.248
26.8246,97.9671
26.9095,57.1375
26.9428,44.4662
26.9731,35.8405
27.0034,29.6199
27.0387,24.664
27.0791,21.0604
27.1236,18.6959
27.1721,17.3341
27.2218,16.911
27.2673,17.3724
27.3126,18.9208
27.3463,21.1601
27.3799,24.8557
27.4093,29.7752
27.442,37.5834
27.479,49.3458
27.5462,72.7444
27.5758,79.2219
27.5995,80.9239
27.6323,77.6035
27.6672,68.0654
27.7428,41.1737
27.7756,32.0296
27.805,25.9677
27.8344,21.6703
27.8638,18.7107
27.9,16.3194
27.9327,14.9108
27.9764,13.7077
28.047,12.6719
28.1176,12.243
28.1646,12.1635
28.2784,12.4451
28.4319,13.7247
28.5508,15.5455
28.6498,17.8945
28.7311,20.7221
28.8074,24.606
28.8728,29.5584
28.9233,35.1701
28.9629,41.4086
29.0026,50.2803
29.0372,61.3861
29.069,75.4864
29.1002,94.1481
29.1378,123.814
29.2483,232.294
29.3006,267.427
29.4248,323.88
29.4869,350.319
29.5024,351.545
29.5386,340.971
29.5728,313.564
29.6433,226.025
29.6941,164.804
29.7304,130.81
29.7692,104.151
29.8055,86.5768
29.8454,73.234
29.8975,61.9335
29.958,53.7578
30.0539,45.8757
30.2437,35.7109
30.4301,28.1434
