95-Am-241(n,total fission) ENDF/B-VII.1
4.88576,1.54657
4.89549,2.00313
4.90688,2.70483
4.92133,3.83066
4.94422,5.72345
4.95733,6.44631
4.96787,6.64201
4.98,6.3868
4.99178,5.71641
5.02579,3.00336
5.0369,2.29545
5.04662,1.81671
5.05635,1.4597
5.06677,1.18846
5.07746,1.00032
5.08913,0.8682
5.10024,0.790341
5.11691,0.72986
5.13228,0.713492
5.15358,0.734428
5.17913,0.816682
5.203,0.956132
5.22351,1.14254
5.24061,1.3688
5.25543,1.64576
5.26911,2.00605
5.2805,2.42595
5.29076,2.94584
5.30102,3.66522
5.30957,4.48087
5.31854,5.626
5.32752,7.15478
5.33749,9.41203
5.34775,12.4378
5.36029,17.0992
5.38992,29.6594
5.40269,33.3791
5.41459,34.6233
5.42526,33.6437
5.43688,30.5548
5.45689,22.3654
5.47498,14.8203
5.48695,10.8098
5.49707,8.18481
5.50618,6.37591
5.51473,5.0842
5.52328,4.10452
5.5324,3.32213
5.54266,2.67747
5.55463,2.14141
5.56659,1.75858
5.57942,1.45857
5.5948,1.1959
5.61196,0.983819
5.63239,0.80241
5.65495,0.66039
5.67674,0.563139
5.6991,0.495108
5.72203,0.457
5.73636,0.449808
5.78555,0.474859
5.80688,0.458771
5.83325,0.395878
5.86192,0.316899
5.87912,0.283691
5.89632,0.264455
5.91466,0.257521
5.93874,0.267179
5.95825,0.293048
5.97547,0.336967
5.98695,0.384352
5.99811,0.452287
6.00893,0.548568
6.01794,0.660521
6.02849,0.839574
6.03959,1.09697
6.05152,1.46154
6.06817,2.10319
6.09081,3.01463
6.10457,3.39134
6.11673,3.50523
6.12765,3.40692
6.14197,3.02487
6.18026,1.49552
6.19247,1.10579
6.20357,0.833276
6.21328,0.653642
6.22244,0.526106
6.23215,0.425607
6.24186,0.35186
6.25324,0.289504
6.26572,0.241104
6.2807,0.20049
6.29735,0.168984
6.31677,0.143066
6.34397,0.118243
6.37369,0.100006
6.40986,0.0850678
6.45126,0.073913
6.49273,0.0670691
6.53127,0.0641386
6.54908,0.0641206
6.58025,0.0673289
6.59973,0.0731085
6.61559,0.0820616
6.62812,0.0937312
6.64064,0.111679
6.65177,0.134973
6.66429,0.171736
6.67821,0.227332
6.69908,0.334367
6.71828,0.43296
6.73231,0.481761
6.74455,0.496293
6.75658,0.481566
6.77083,0.431344
6.81068,0.22302
6.82459,0.16529
6.83572,0.130171
6.84686,0.103995
6.8591,0.0835106
6.87093,0.0698079
6.88512,0.0586651
6.90251,0.049841
6.92255,0.043338
6.9476,0.0380745
6.97877,0.033802
7.02329,0.0298922
7.08209,0.0266775
7.15831,0.0241387
7.25992,0.0223575
7.32643,0.0220038
7.39627,0.0225874
7.44172,0.0239917
7.47498,0.0262023
7.49715,0.028922
7.5135,0.0322362
7.5293,0.0373694
7.54246,0.0440228
7.5559,0.054176
7.56838,0.0676925
7.58223,0.0882858
7.59914,0.121278
7.63129,0.191226
7.6457,0.212152
7.65884,0.218837
7.6723,0.211813
7.68949,0.185479
7.72745,0.104239
7.74131,0.0806431
7.75378,0.0645581
7.76487,0.054053
7.77817,0.0452747
7.7887,0.0405672
7.8045,0.0360527
7.81974,0.0335835
7.83969,0.0320191
7.85688,0.031632
7.89291,0.0327859
7.92641,0.0360893
7.95506,0.0412267
7.97893,0.0482369
7.99661,0.0562464
8.01275,0.0672412
8.02565,0.080261
8.03735,0.0971914
8.04743,0.117517
8.05752,0.145179
8.0676,0.182461
8.07835,0.235491
8.09032,0.31335
8.10484,0.435701
8.1445,0.837463
8.16009,0.942011
8.17255,0.970424
8.18526,0.942305
8.2015,0.832717
8.24358,0.410205
8.25689,0.302748
8.26899,0.227233
8.27954,0.177494
8.28983,0.141205
8.30126,0.111964
8.31268,0.091337
8.32546,0.0753312
8.33944,0.063399
8.35692,0.0534992
8.37601,0.0464069
8.40155,0.0403123
8.4322,0.0358596
8.47684,0.0323853
8.52524,0.0308632
8.54943,0.0306779
8.60708,0.0314334
8.66472,0.0337736
8.72355,0.0381201
8.77258,0.0439786
8.81181,0.0510667
8.84823,0.0609247
8.87485,0.0715257
8.89614,0.0834851
8.91688,0.100115
8.93369,0.119693
8.94882,0.145222
8.96058,0.173333
8.97179,0.210217
8.983,0.261167
8.9942,0.331466
9.00569,0.429978
9.01648,0.552598
9.02867,0.731211
9.04324,1.00069
9.08162,1.82991
9.09597,2.05235
9.1113,2.1518
9.11273,2.1526
9.12735,2.07721
9.14326,1.84434
9.18683,0.922173
9.20098,0.680184
9.21358,0.513387
9.22507,0.399093
9.23628,0.316756
9.24749,0.257109
9.25897,0.21355
9.27158,0.18027
9.28671,0.153701
9.30184,0.136416
9.31697,0.124989
9.33714,0.115557
9.3674,0.10921
9.37749,0.10857
9.4143,0.110984
9.45112,0.119997
9.4874,0.135642
9.52261,0.159015
9.55195,0.187253
9.58148,0.227895
9.60531,0.274596
9.62517,0.328443
9.64446,0.40142
9.66148,0.493234
9.67567,0.601661
9.68758,0.727698
9.69893,0.891803
9.71028,1.11746
9.72163,1.42879
9.73184,1.80642
9.74206,2.30041
9.7534,3.01193
9.76702,4.11693
9.7849,5.96064
9.81809,9.75232
9.83375,11.0253
9.84782,11.5279
9.85052,11.5432
9.86394,11.2246
9.88107,9.97407
9.91115,6.59424
9.93044,4.51073
9.9442,3.31614
9.95626,2.49954
9.96718,1.93221
9.9781,1.50414
9.98793,1.21523
9.99775,0.997447
10.0095,0.806802
10.0206,0.678822
10.0345,0.567406
10.0511,0.480893
10.0705,0.419184
10.1089,0.347467
10.1825,0.212851
10.2047,0.182757
10.2213,0.168636
10.2402,0.162646
10.2535,0.165872
10.2698,0.180458
10.2819,0.201302
10.2954,0.236793
10.3094,0.290615
10.3251,0.37267
10.3541,0.5668
10.3734,0.69118
10.3895,0.760501
10.4036,0.780132
10.4167,0.759621
10.435,0.675851
10.4831,0.341314
10.4987,0.254873
10.5129,0.195128
10.5257,0.155455
10.5385,0.12672
10.5512,0.106329
10.5672,0.0890205
10.5861,0.0762033
10.6077,0.0673401
10.64,0.0601982
10.6774,0.0571251
10.6899,0.0570319
10.7209,0.0587797
10.7518,0.0639681
10.7783,0.0726353
10.7996,0.0844589
10.8155,0.0982831
10.8287,0.115072
10.842,0.13916
10.8553,0.173941
10.8672,0.218037
10.8791,0.278137
10.8909,0.356848
10.904,0.470269
10.9199,0.644972
10.9634,1.20831
10.9807,1.36211
10.9968,1.41203
11.013,1.35904
11.0318,1.18668
11.0772,0.599054
11.0928,0.435399
11.105,0.334653
11.1165,0.260946
11.128,0.204839
11.1404,0.160291
11.1523,0.129207
11.1656,0.104502
11.1797,0.0859851
11.1974,0.07012
11.2151,0.0592343
11.2374,0.0496778
11.2655,0.0415743
11.2983,0.0353237
11.3299,0.0313375
11.3632,0.0286955
11.3965,0.0276496
11.4232,0.028574
11.4398,0.0305546
11.4565,0.0342567
11.4737,0.0406
11.4889,0.0488654
11.5086,0.0632892
11.5519,0.0999738
11.5719,0.109807
11.5818,0.111127
11.5972,0.108008
11.613,0.0989722
11.6452,0.0705236
11.6674,0.0512251
11.6839,0.0398522
11.7001,0.0315591
11.7151,0.0261547
11.7306,0.0223151
11.7501,0.0192494
11.7695,0.0173671
11.8028,0.0155361
11.8583,0.014104
11.9205,0.0136048
11.9515,0.0138306
11.978,0.014562
11.9957,0.0155738
12.0169,0.0177189
12.0376,0.0211723
12.0597,0.0265347
12.1017,0.0387943
12.1237,0.0429615
12.1367,0.0436772
12.1547,0.0422838
12.1773,0.0372622
12.2226,0.0240901
12.2405,0.0201216
