93-Np-237(n,total fission) ENDF/B-VII.1
5.32142,0.00228344
5.37051,0.0027434
5.4126,0.00330345
5.45141,0.00403258
5.48321,0.00486658
5.51474,0.00602903
5.5423,0.00748341
5.56589,0.00925418
5.58497,0.0112539
5.60086,0.0135279
5.61676,0.0166729
5.62948,0.0201782
5.6422,0.0250946
5.6536,0.0313863
5.66287,0.0385055
5.67215,0.0482062
5.68063,0.0601423
5.6899,0.0775826
5.69944,0.101453
5.71004,0.136157
5.72329,0.191807
5.75498,0.346047
5.76813,0.388971
5.77975,0.402058
5.79081,0.389873
5.80332,0.350445
5.82611,0.241081
5.8428,0.1627
5.85446,0.118979
5.864,0.0911202
5.87261,0.0716272
5.88136,0.0564911
5.8901,0.0451154
5.90004,0.0356388
5.90932,0.029197
5.92045,0.023581
5.93211,0.0193589
5.94536,0.0158943
5.96126,0.0129214
5.97927,0.0105261
6.00153,0.00844574
6.0265,0.00682401
6.0537,0.0055883
6.08543,0.00458751
6.12137,0.00382405
6.15277,0.0033825
6.18561,0.00310775
6.20941,0.00303944
6.2342,0.00314759
6.2471,0.00332959
6.25999,0.00366125
6.27288,0.00422667
6.28479,0.00505587
6.2952,0.00610697
6.30661,0.00767854
6.32099,0.0103095
6.35322,0.0173344
6.3673,0.019444
6.37968,0.0200741
6.39111,0.0194868
6.4044,0.0175543
6.44372,0.00900512
6.45612,0.00686744
6.46728,0.00540636
6.4772,0.00444717
6.48897,0.00364842
6.50075,0.00312928
6.51489,0.00276474
6.52925,0.00259734
6.53643,0.002576
6.54837,0.00263091
6.56266,0.00287033
6.57457,0.0032627
6.58673,0.00391022
6.59801,0.00479359
6.61055,0.00613964
6.62785,0.00857555
6.65493,0.0126496
6.66797,0.0139212
6.67972,0.0143046
6.69203,0.0138352
6.70758,0.0121464
6.74443,0.00647731
6.75697,0.00493697
6.76825,0.00387159
6.77828,0.00316183
6.79019,0.00255711
6.8021,0.00214621
6.81639,0.00182537
6.83143,0.00161366
6.85149,0.00144405
6.87656,0.00132764
6.91267,0.00125639
6.92871,0.00124866
6.96228,0.00127248
6.99584,0.00135804
7.02136,0.0014883
7.04263,0.00168053
7.05964,0.00194176
7.0739,0.00229214
7.08591,0.00273139
7.09842,0.00338223
7.11219,0.00437841
7.12845,0.00594668
7.16098,0.00957172
7.17659,0.0107714
7.1912,0.0111521
7.20401,0.0108451
7.22403,0.00949222
7.24705,0.00767889
7.25806,0.00709493
7.27107,0.00684646
7.28166,0.00709588
7.29243,0.00786814
7.3014,0.00900714
7.31024,0.0106759
7.31886,0.0129458
7.32749,0.0159707
7.338,0.0208335
7.35003,0.0281107
7.36519,0.0396282
7.39261,0.0621413
7.40791,0.0706929
7.42065,0.0731412
7.43178,0.071289
7.44371,0.0655355
7.46334,0.0505809
7.48692,0.0313398
7.49991,0.0228236
7.51049,0.0174242
7.51976,0.0137904
7.52894,0.0110672
7.53877,0.00895584
7.54859,0.00750381
7.55892,0.00653116
7.56958,0.00599875
7.57812,0.00586335
7.58865,0.00601592
7.6012,0.0066279
7.61626,0.0079186
7.65691,0.012603
7.67257,0.0135881
7.67859,0.0136848
7.69144,0.0133128
7.70429,0.0122191
7.72642,0.00928597
7.749,0.0061705
7.76281,0.0046497
7.77535,0.00359697
7.78602,0.00293039
7.79668,0.00243706
7.80948,0.00201903
7.82303,0.00172083
7.8411,0.0014661
7.86368,0.00127376
7.89179,0.00113138
7.9219,0.00104008
7.96205,9.74499E-4
8.00353,9.53553E-4
8.05534,9.91828E-4
8.08643,0.00106418
8.1147,0.00119035
8.13354,0.00133588
8.14767,0.00150538
8.1618,0.00176412
8.17311,0.00207329
8.18441,0.00251899
8.19572,0.00315618
8.20702,0.00404676
8.21868,0.00529054
8.23128,0.00704408
8.24847,0.0100448
8.27297,0.0146346
8.28654,0.0165713
8.30048,0.0175667
8.3046,0.0176269
8.31857,0.017014
8.33232,0.015329
8.37566,0.00752986
8.38861,0.00566167
8.40051,0.00433833
8.41087,0.00347193
8.41994,0.00290021
8.4303,0.00241767
8.44302,0.00201152
8.45479,0.00176265
8.46892,0.00156839
8.48777,0.0014161
8.51603,0.00130941
8.53864,0.00128208
8.58435,0.0013224
8.63005,0.00146929
8.67119,0.00171118
8.70321,0.00200802
8.72988,0.00237278
8.75563,0.00289381
8.77512,0.00347547
8.79135,0.00417227
8.8062,0.00509435
8.81733,0.00607366
8.82847,0.00743367
8.83821,0.00907642
8.84795,0.0113112
8.85723,0.0141756
8.86744,0.0184004
8.87765,0.0240172
8.88878,0.0320015
8.90165,0.0438036
8.92033,0.0650351
8.94631,0.0954955
8.95948,0.106426
8.97398,0.111595
8.97567,0.111659
8.9901,0.107564
9.00662,0.0940948
9.04791,0.0462068
9.06102,0.0339062
9.0725,0.0254545
9.08178,0.0201531
9.09106,0.0160533
9.10034,0.0129594
9.11029,0.0105324
9.12002,0.00885199
9.13136,0.0075359
9.14109,0.00682794
9.15405,0.00635955
9.16036,0.00630605
9.17087,0.00646423
9.18269,0.00703293
9.19452,0.0080632
9.20766,0.00981105
9.2208,0.012215
9.24182,0.0171599
9.26704,0.0232619
9.28313,0.0258219
9.2961,0.0265024
9.31129,0.0255148
9.32748,0.022612
9.37189,0.0112473
9.38687,0.00819395
9.39869,0.00633082
9.40894,0.00508253
9.42011,0.004052
9.43128,0.00329592
9.44428,0.0026712
9.45624,0.00226762
9.47332,0.00187355
9.4904,0.00161062
9.51536,0.00135595
9.54532,0.00115869
9.58211,0.00100074
9.62941,8.70366E-4
9.68853,7.69209E-4
9.75948,6.97931E-4
9.84013,6.56484E-4
9.92077,6.4478E-4
10.0108,6.6714E-4
10.0509,6.97428E-4
10.0839,7.48177E-4
10.1099,8.27737E-4
10.1289,9.26205E-4
10.1519,0.00110724
10.207,0.00168016
10.2288,0.0017973
10.2362,0.001806
10.254,0.00176405
10.3081,0.00140531
10.3338,0.00131677
10.3433,0.0013105
10.3671,0.00135124
10.3971,0.00150074
10.4271,0.00175775
10.4542,0.00211719
10.4751,0.00253829
10.4926,0.0030565
10.5081,0.00373672
10.5208,0.00453634
10.5334,0.0056752
10.5435,0.00693307
10.5536,0.00860511
10.5637,0.0108021
10.5738,0.0136356
10.5856,0.0178512
10.6004,0.0246479
10.6216,0.0368301
10.6502,0.0535645
10.6656,0.05977
10.6813,0.0622807
10.683,0.0622976
10.6986,0.0602167
10.7194,0.0525618
10.7508,0.0388596
10.7658,0.0345449
10.7799,0.0325654
10.7881,0.0322444
10.8326,0.0342583
10.8515,0.033095
10.8715,0.0292796
10.9183,0.0159253
10.9335,0.0125067
10.9458,0.0105309
10.9566,0.00940428
10.9673,0.00884646
10.9741,0.00878113
10.9841,0.0090795
10.9942,0.00983771
11.0065,0.0113504
11.0233,0.0143008
11.0625,0.0225734
11.0816,0.025144
11.0941,0.0256436
11.1102,0.0247087
11.1275,0.0219827
11.1748,0.0111347
