96-Cm-244(n,total fission) ENDF/B-VII.1
15.1157,0.299033
15.4284,0.319868
15.7058,0.355939
15.8571,0.391078
16.0008,0.445859
16.1206,0.522639
16.2013,0.605009
16.2694,0.709658
16.3262,0.83909
16.3715,0.989003
16.4094,1.16533
16.4472,1.41862
16.479,1.73225
16.5017,2.0532
16.5234,2.49008
16.541,3.00357
16.5569,3.66614
16.571,4.5052
16.5839,5.57491
16.5965,7.026
16.6091,9.02188
16.6207,11.4873
16.6328,14.8639
16.6449,19.2154
16.6595,25.9357
16.6757,35.2466
16.7054,56.2249
16.7327,74.9105
16.7502,83.2264
16.7696,86.6733
16.7845,84.671
16.8043,76.346
16.8325,57.382
16.8618,36.6378
16.8789,26.5746
16.8931,19.9477
16.9052,15.4555
16.9173,11.9499
16.9296,9.23305
16.9422,7.18039
16.9536,5.81293
16.9672,4.6158
16.9813,3.73797
16.9955,3.11149
17.0131,2.55808
17.0338,2.11073
17.0565,1.76786
17.0837,1.47698
17.118,1.22144
17.1558,1.02526
17.205,0.849947
17.2618,0.714017
17.3299,0.605243
17.4206,0.5121
17.5341,0.440372
17.6476,0.395176
17.8393,0.349568
18.1419,0.313289
18.6261,0.288581
19.4533,0.274989
19.9912,0.273215
20.808,0.278338
21.2981,0.290131
21.6452,0.30987
21.8494,0.332832
22.0332,0.370553
22.1557,0.414727
22.2578,0.475562
22.3357,0.55041
22.3931,0.634627
22.439,0.732699
22.4812,0.863198
22.5195,1.04075
22.545,1.21434
22.5682,1.44054
22.5886,1.73126
22.607,2.11627
22.6233,2.61528
22.6387,3.2859
22.6524,4.12855
22.6662,5.27847
22.6785,6.63185
22.6923,8.61468
22.706,11.1718
22.7224,15.0364
22.742,20.9068
22.7778,34.011
22.8051,43.7497
22.8259,49.0658
22.8484,51.3661
22.8498,51.373
22.8678,50.0393
22.8878,45.719
22.9194,34.9134
22.9547,21.9038
22.9746,15.7911
22.9914,11.6691
23.0067,8.75721
23.0208,6.71357
23.0343,5.22076
23.0481,4.08668
23.0619,3.25448
23.0756,2.64744
23.0908,2.16587
23.1078,1.78717
23.1272,1.48786
23.1515,1.23463
23.1793,1.0388
23.2176,0.859187
23.2635,0.718114
23.3171,0.609686
23.3809,0.524689
23.4575,0.458187
23.5558,0.40396
23.677,0.362611
23.871,0.325116
24.0956,0.301979
24.3202,0.288769
24.892,0.272711
26.3644,0.261836
27.7621,0.260164
30.8117,0.267627
31.882,0.278914
32.548,0.294867
33.0142,0.316963
33.4027,0.352336
33.6469,0.39201
33.8134,0.434719
33.9688,0.495402
34.102,0.575714
34.213,0.678057
34.3018,0.800303
34.3795,0.958005
34.4461,1.15724
34.4988,1.3853
34.5405,1.63736
34.5821,1.99518
34.6126,2.37106
34.6404,2.85819
34.6653,3.50039
34.6831,4.14892
34.7025,5.14344
34.72,6.41424
34.7355,7.96956
34.7514,10.1125
34.7663,12.8224
34.783,16.8192
34.7994,21.9884
34.8182,29.744
34.8385,40.4397
34.8635,56.9573
34.9351,112.231
34.9634,127.094
34.9895,132.007
35.0166,126.907
35.0455,111.543
35.1232,52.0086
35.1476,36.8224
35.1665,27.5344
35.1831,21.0683
35.1992,16.1962
35.2159,12.3633
35.2309,9.76711
35.2475,7.62256
35.264,6.07758
35.2805,4.9546
35.2994,4.0344
35.3183,3.37809
35.3396,2.84341
35.3674,2.35531
35.4007,1.95099
35.4368,1.64226
35.4867,1.34338
35.545,1.10579
35.6074,0.929831
35.6824,0.783183
35.767,0.668858
35.878,0.567596
36.0112,0.488269
36.161,0.430168
36.3442,0.384169
36.5884,0.346118
36.9658,0.312848
37.3432,0.29442
38.098,0.275708
39.9478,0.26056
46.4138,0.252806
48.0658,0.252612
51.0722,0.255757
51.8378,0.265506
52.1028,0.279649
52.2402,0.298305
52.3138,0.318711
52.3751,0.352982
52.4154,0.39871
52.4433,0.454427
52.4667,0.526866
52.49,0.635266
52.5109,0.776018
52.5319,0.97105
52.5538,1.24629
52.5758,1.61317
52.6028,2.19446
52.6367,3.1198
52.7074,5.31227
52.7427,6.11545
52.7761,6.42861
52.7798,6.43181
52.8124,6.185
52.8428,5.5619
52.8968,3.93696
52.941,2.60483
52.9684,1.92878
52.9926,1.45889
53.0152,1.12257
53.0349,0.900108
53.0547,0.733505
53.0775,0.595939
53.099,0.50672
53.1235,0.438164
53.1481,0.393387
53.1849,0.35264
53.2462,0.318242
53.3345,0.294996
53.5259,0.273957
53.9185,0.260636
55.3712,0.253016
60.2508,0.251525
66.0378,0.256268
66.9326,0.269271
67.2122,0.285971
67.3647,0.307883
67.4664,0.33914
67.5172,0.369574
67.5553,0.408861
67.5871,0.462969
67.6125,0.530219
67.6379,0.630733
67.6627,0.775434
67.6848,0.958281
67.707,1.20729
67.7291,1.53815
67.7549,2.04673
67.7826,2.75647
67.8151,3.80543
67.9148,7.61536
67.9514,8.59143
67.9878,8.96877
67.9898,8.96979
68.0236,8.67525
68.0642,7.63409
68.171,3.58301
68.2036,2.5764
68.2302,1.93248
68.2544,1.47973
68.2772,1.15413
68.3001,0.912466
68.323,0.737561
68.3459,0.613433
68.3687,0.526467
68.3973,0.453776
68.4259,0.407043
68.4628,0.369261
68.5136,0.338731
68.5899,0.313278
68.7424,0.288257
69.0474,0.269061
69.5355,0.259324
71.6542,0.252686
74.114,0.252044
81.6095,0.257477
83.3497,0.269221
84.0955,0.28693
84.515,0.311384
84.7714,0.341358
84.9462,0.377058
85.0918,0.426622
85.1967,0.484174
85.2851,0.560247
85.3482,0.643981
85.4011,0.750954
85.4434,0.881981
85.4783,1.0456
85.5075,1.24488
85.5354,1.51884
85.5599,1.85412
85.5844,2.31224
85.6089,2.93269
85.6333,3.76072
85.6601,4.96249
85.6881,6.60673
85.7184,8.89168
85.7568,12.5544
85.8745,26.0667
85.9196,29.5802
85.9598,30.6731
86.002,29.4679
86.0439,26.1731
86.1235,17.003
86.1752,11.2923
86.2102,8.1753
86.2389,6.14552
86.2661,4.64847
86.2906,3.61148
86.315,2.82116
86.3376,2.27076
86.3632,1.80584
86.3888,1.4705
86.4187,1.1958
86.4487,1.00664
86.4844,0.852353
86.5252,0.734176
86.5796,0.630168
86.6475,0.545563
86.7388,0.472474
86.8456,0.417915
87.0165,0.365533
87.2496,0.326596
87.638,0.295159
88.244,0.274954
89.4404,0.262058
91.3075,0.257938
93.553,0.264316
94.3093,0.276142
94.7906,0.297211
95.0714,0.326321
95.2261,0.35685
95.355,0.400524
95.4467,0.45314
95.5183,0.522718
95.5613,0.590769
95.5971,0.677288
95.6329,0.811554
95.6616,0.975096
95.6874,1.1873
95.7132,1.48716
95.7347,1.82706
95.7561,2.27224
95.7776,2.84735
95.8037,3.75678
95.8312,5.01321
95.8587,6.61407
95.8931,9.1224
95.9429,13.6352
96.0295,22.0137
96.0776,25.1888
96.1198,26.1575
96.1636,25.1146
96.2037,22.5391
96.2764,15.6578
96.3332,10.2526
96.3675,7.53572
96.3996,5.49951
96.4271,4.13616
96.4516,3.19091
96.4767,2.44889
96.5018,1.89455
96.5268,1.48843
96.5519,1.19526
96.577,0.985544
96.6056,0.818288
96.6343,0.703664
96.6701,0.607491
96.7131,0.532945
96.7704,0.470152
96.8577,0.412144
96.9795,0.364989
97.1256,0.332014
97.4035,0.2994
97.8619,0.276795
98.5495,0.264075
100.944,0.254104
114.479,0.250904
128.234,0.255059
130.358,0.266193
131.083,0.282393
131.485,0.305839
131.727,0.33572
131.888,0.372596
131.995,0.414203
132.082,0.470655
132.132,0.523092
132.183,0.605338
132.225,0.715283
132.258,0.848853
132.288,1.01626
132.317,1.25049
132.346,1.57562
132.376,2.02068
132.405,2.61857
132.434,3.40365
132.468,4.58398
132.506,6.27609
132.548,8.64763
132.622,13.7978
132.697,18.905
132.75,21.4229
132.8,22.2406
132.851,21.3631
132.898,19.1923
132.983,13.3795
133.054,8.54826
133.097,6.13219
133.132,4.56608
133.164,3.45832
133.195,2.60706
133.223,2.0515
133.248,1.65548
133.278,1.3005
133.308,1.04636
133.338,0.866147
133.372,0.726986
133.414,0.612554
133.464,0.52727
133.531,0.459462
133.632,0.401484
133.759,0.359412
133.887,0.333463
134.142,0.303834
134.585,0.280753
135.349,0.266589
136.477,0.261838
137.62,0.269961
138.021,0.284602
138.233,0.304148
138.37,0.332402
138.45,0.368092
138.505,0.417399
138.545,0.478153
138.577,0.552491
138.61,0.669083
138.64,0.817005
138.67,1.02162
138.699,1.2987
138.732,1.70687
138.765,2.24284
138.799,2.96209
138.844,4.12433
138.916,6.44686
138.996,9.0268
139.051,10.2154
139.1,10.578
139.149,10.2085
139.202,9.07271
139.291,6.18273
139.356,4.11656
139.401,2.9575
139.438,2.18593
139.471,1.6636
139.501,1.29829
139.53,1.02157
139.56,0.81706
139.59,0.669055
139.623,0.552262
139.655,0.477693
139.695,0.416664
139.75,0.367058
139.83,0.331109
139.967,0.302612
140.179,0.28276
140.581,0.267444
141.469,0.257442
147.231,0.251275
156.076,0.25077
168.621,0.25354
169.952,0.262585
170.264,0.273126
170.441,0.290464
170.532,0.315656
170.586,0.347602
170.632,0.393804
170.672,0.458902
170.711,0.553737
170.75,0.691588
170.789,0.885157
170.828,1.14646
170.867,1.48417
170.915,1.99872
170.992,3.03536
171.079,4.22389
171.144,4.83068
171.2,5.01377
171.252,4.85373
171.316,4.26804
171.482,2.03663
171.535,1.4639
171.576,1.1164
171.611,0.885099
171.646,0.708508
171.684,0.569819
171.723,0.469998
171.762,0.40296
171.801,0.358907
171.84,0.330298
171.918,0.29944
172.022,0.282154
172.282,0.267108
172.781,0.258479
175.017,0.253585
178.703,0.260371
179.624,0.271279
180.176,0.291107
180.483,0.31901
180.667,0.354588
180.767,0.390784
180.847,0.443547
180.896,0.500705
180.936,0.571562
180.976,0.678621
181.011,0.815108
181.041,0.984754
181.072,1.21531
181.103,1.52448
181.137,1.97909
181.17,2.58075
181.207,3.43991
181.25,4.71382
181.3,6.63938
181.371,10.0004
181.472,15.0383
181.539,17.3522
181.598,18.114
181.6,18.1145
181.659,17.4002
181.719,15.388
181.833,9.78115
181.898,6.70774
181.949,4.75512
181.989,3.52298
182.025,2.67493
182.057,2.07708
182.089,1.61728
182.122,1.27142
182.154,1.01619
182.186,0.83261
182.224,0.679303
182.266,0.567005
182.3,0.506499
182.35,0.446279
182.418,0.398368
182.527,0.356016
182.68,0.324112
182.926,0.29758
183.404,0.275447
184.202,0.262782
186.421,0.255127
188.229,0.254207
192.95,0.260209
194.408,0.273149
195.016,0.289071
195.36,0.307479
195.643,0.33542
195.876,0.378768
196.013,0.423846
196.127,0.487422
196.203,0.559213
196.264,0.653482
196.311,0.766541
196.356,0.923666
196.397,1.13665
196.432,1.38789
196.467,1.72587
196.504,2.20799
196.542,2.8784
196.581,3.75236
196.623,4.96924
196.672,6.72356
196.741,9.7811
196.858,15.4355
196.925,17.82
196.988,18.8165
197.0,18.8432
197.057,18.2409
197.115,16.4875
197.211,12.1545
197.308,7.52727
197.361,5.46933
197.404,4.14539
197.447,3.10559
197.484,2.40195
197.52,1.87973
197.557,1.48841
197.593,1.20014
197.63,0.990235
197.671,0.822468
197.716,0.69488
197.773,0.590814
197.83,0.523429
197.921,0.455761
198.045,0.401406
198.21,0.358934
198.473,0.321511
198.742,0.30065
199.349,0.277988
200.564,0.263064
204.075,0.256097
207.096,0.262512
208.07,0.27695
208.428,0.292311
208.702,0.317627
208.843,0.343324
208.961,0.383295
209.033,0.428185
209.082,0.476345
209.133,0.553713
209.176,0.653188
209.219,0.795482
209.256,0.96663
209.294,1.20187
209.332,1.51209
209.375,1.96731
209.418,2.5661
209.474,3.52725
209.561,5.39831
209.673,7.80517
209.736,8.7333
209.8,9.0669
209.866,8.70735
209.936,7.62898
210.118,3.67623
210.175,2.66324
210.222,2.00225
210.265,1.54076
210.307,1.19143
210.345,0.961784
210.384,0.783934
210.429,0.640417
210.473,0.542866
210.529,0.463854
210.585,0.414466
210.675,0.368285
210.824,0.32957
211.072,0.299746
211.47,0.279458
212.345,0.265055
214.015,0.260206
215.995,0.264698
217.286,0.278022
218.013,0.29979
218.451,0.330212
218.728,0.368019
218.93,0.417351
219.074,0.477367
219.175,0.545987
219.239,0.61354
219.304,0.715801
219.358,0.844916
219.403,1.00706
219.443,1.20723
219.482,1.48371
219.522,1.86351
219.561,2.37842
219.604,3.11527
219.648,4.14656
219.696,5.61711
219.749,7.6432
219.82,11.0233
219.952,17.9239
220.024,20.6301
220.089,21.688
220.1,21.7105
220.162,20.9703
220.225,18.9182
220.331,13.6367
220.427,8.68329
220.484,6.31289
220.532,4.69138
220.577,3.53329
220.617,2.7247
220.654,2.16607
220.69,1.74205
220.726,1.42184
220.769,1.14236
220.812,0.946297
220.855,0.808277
220.913,0.683453
220.985,0.584317
221.057,0.520033
221.172,0.453825
221.345,0.394836
221.605,0.346187
221.864,0.319012
222.268,0.295398
222.96,0.276351
224.528,0.261984
226.776,0.257698
228.343,0.261297
229.085,0.27181
229.422,0.287513
229.59,0.306976
229.695,0.33432
229.759,0.365766
229.809,0.40684
229.86,0.470986
229.902,0.55047
229.944,0.662757
229.986,0.817787
230.033,1.05247
230.079,1.36187
230.136,1.85632
230.2,2.5566
230.365,4.58372
230.439,5.18323
230.5,5.34786
230.564,5.16204
230.628,4.64827
230.736,3.35487
230.83,2.20486
230.889,1.61903
230.94,1.2231
230.983,0.963547
231.026,0.76692
231.07,0.62274
231.113,0.519901
231.165,0.436735
231.208,0.391014
231.271,0.348818
231.334,0.324148
231.46,0.298956
231.705,0.279326
232.185,0.265832
233.196,0.259883
233.857,0.265095
234.066,0.275531
234.175,0.295311
234.248,0.326779
234.303,0.369599
234.358,0.438666
234.41,0.53871
234.462,0.68176
234.514,0.87489
234.58,1.19115
234.771,2.29827
234.843,2.56731
234.9,2.63813
234.97,2.5322
235.048,2.20025
235.23,1.1381
235.294,0.838584
235.347,0.652202
235.398,0.520267
235.45,0.425901
235.502,0.363576
235.567,0.316906
235.645,0.288379
235.776,0.270234
235.984,0.261944
236.985,0.254337
239.199,0.252463
241.404,0.256377
241.809,0.265061
241.93,0.277388
242.012,0.298462
242.072,0.329255
242.133,0.38217
242.184,0.4511
242.234,0.550013
242.291,0.70452
242.352,0.922774
242.441,1.3298
242.568,1.93124
242.643,2.15724
242.7,2.21262
242.77,2.12798
242.838,1.90511
243.035,0.975167
243.099,0.736559
243.156,0.57369
243.206,0.468176
243.256,0.395411
243.305,0.345957
243.371,0.305676
243.437,0.283909
243.571,0.2661
243.874,0.257357
245.697,0.251704
253.13,0.250748
262.505,0.254551
263.367,0.260851
263.774,0.271452
263.954,0.284917
264.044,0.300879
264.104,0.32073
264.164,0.354869
264.208,0.395767
264.261,0.468865
264.306,0.562175
264.351,0.693462
264.393,0.862241
264.44,1.1082
264.494,1.47457
264.562,2.06083
264.755,4.07633
264.831,4.61289
264.9,4.78667
264.965,4.63362
265.039,4.12568
265.163,2.84317
265.252,1.92522
265.312,1.42801
265.364,1.08135
265.409,0.852078
265.454,0.678532
265.499,0.551611
265.547,0.455474
265.596,0.391211
265.654,0.342841
265.732,0.307714
265.81,0.290058
265.99,0.2733
266.289,0.263437
267.008,0.255982
269.411,0.252458
272.331,0.258511
272.981,0.272672
273.152,0.286407
273.266,0.310138
273.34,0.343354
273.39,0.381912
273.44,0.441002
273.49,0.529546
273.541,0.658235
273.591,0.838537
273.644,1.09474
273.702,1.46849
273.778,2.08828
273.949,3.66151
274.029,4.17064
274.1,4.32721
274.171,4.16867
274.251,3.6581
274.457,1.7832
274.519,1.32399
274.574,1.00316
274.622,0.788501
274.671,0.624075
274.721,0.505862
274.772,0.425089
274.83,0.364539
274.897,0.324084
274.994,0.294835
275.122,0.278667
275.44,0.264771
276.03,0.256918
280.42,0.250923
297.842,0.250349
315.516,0.252888
315.944,0.260923
316.056,0.27325
316.131,0.290608
316.225,0.330811
316.297,0.382146
316.377,0.464861
316.485,0.61681
316.654,0.874294
316.744,0.957075
316.8,0.972245
316.883,0.938129
316.988,0.815302
317.183,0.516208
317.263,0.419862
317.343,0.351112
317.431,0.303772
317.506,0.280746
317.619,0.263866
317.87,0.254496
321.971,0.250792
328.315,0.25426
328.589,0.259916
328.699,0.268889
328.814,0.292629
328.905,0.331598
328.98,0.385328
329.06,0.468183
329.163,0.615209
329.345,0.90767
329.443,1.00408
329.5,1.02043
329.59,0.979941
329.689,0.858266
329.895,0.527487
329.977,0.426028
330.06,0.354288
330.136,0.311097
330.202,0.287986
330.29,0.270497
330.466,0.257902
331.694,0.252056
333.067,0.251731
339.815,0.255902
341.643,0.268351
342.148,0.283438
342.377,0.299462
342.529,0.321875
342.642,0.357727
342.714,0.402
342.777,0.466903
342.831,0.553641
342.876,0.657551
342.928,0.824696
342.978,1.05196
343.029,1.35791
343.079,1.75631
343.138,2.35004
343.212,3.28201
343.44,6.7203
343.523,7.5607
343.6,7.83251
343.677,7.55763
343.765,6.65284
343.998,3.14018
344.072,2.23345
344.131,1.66246
344.186,1.25577
344.237,0.977767
344.282,0.790251
344.332,0.637835
344.382,0.530745
344.441,0.446314
344.506,0.388405
344.584,0.347978
344.715,0.314774
344.819,0.30126
345.14,0.281354
345.461,0.272519
346.423,0.263477
347.25,0.262156
349.409,0.270541
350.454,0.287768
351.02,0.310873
351.359,0.338166
351.62,0.375614
351.829,0.429147
351.955,0.484523
352.062,0.561396
352.148,0.662884
352.219,0.796941
352.277,0.955513
352.334,1.17879
352.39,1.48384
352.445,1.90151
352.501,2.45971
352.56,3.23475
352.63,4.41073
352.716,6.24543
352.922,11.2301
353.006,12.6557
353.092,13.2573
353.1,13.2611
353.182,12.7904
353.274,11.2924
353.525,5.3202
353.594,3.96188
353.662,2.91246
353.72,2.23105
353.772,1.75672
353.827,1.38272
353.882,1.1097
353.937,0.913274
353.991,0.772864
354.063,0.64783
354.152,0.548973
354.241,0.486496
354.384,0.42476
354.562,0.379053
354.824,0.340188
355.259,0.306778
355.92,0.284072
356.582,0.273768
358.253,0.266075
359.647,0.273798
360.187,0.288691
360.457,0.307725
360.626,0.335312
360.728,0.371016
360.795,0.413465
360.863,0.483045
360.919,0.573632
360.975,0.707744
361.026,0.878981
361.076,1.11172
361.132,1.45206
361.189,1.90813
361.258,2.6236
361.352,3.8508
361.527,6.30937
361.617,7.17515
361.7,7.45631
361.783,7.17264
361.873,6.30535
362.109,3.02657
362.181,2.2043
362.243,1.64565
362.301,1.24347
362.354,0.96972
362.401,0.786056
362.454,0.637722
362.507,0.534302
362.565,0.457785
362.627,0.405754
362.702,0.368097
362.825,0.336702
362.924,0.324904
363.177,0.317251
363.346,0.330267
363.453,0.358718
363.516,0.393594
363.571,0.443085
363.627,0.519774
363.673,0.612913
363.719,0.74139
363.765,0.914417
363.818,1.18516
363.872,1.54277
363.934,2.06875
364.01,2.89921
364.236,5.76231
364.324,6.50515
364.4,6.72349
364.479,6.48727
364.567,5.72872
364.736,3.5599
364.83,2.42925
364.899,1.76771
364.952,1.35855
365.006,1.04154
365.052,0.834693
365.098,0.678241
365.15,0.549944
365.206,0.457196
365.261,0.396088
365.33,0.349003
365.413,0.317839
365.523,0.297279
365.824,0.277051
366.609,0.26251
369.636,0.253738
376.609,0.251813
382.418,0.254429
383.86,0.260323
384.661,0.274344
384.982,0.293102
385.138,0.317963
385.216,0.343618
385.294,0.388771
385.36,0.452172
385.419,0.541695
385.469,0.65135
385.519,0.801981
385.569,1.00379
385.619,1.26667
385.679,1.67392
385.746,2.24821
385.843,3.29335
386.014,5.3105
386.112,6.11671
386.2,6.3735
386.287,6.12325
386.386,5.30617
386.616,2.63004
386.691,1.91586
386.751,1.45651
386.811,1.10094
386.861,0.876114
386.911,0.706397
386.961,0.581595
387.014,0.487422
387.079,0.410821
387.158,0.356023
387.21,0.333525
387.314,0.30703
387.418,0.293066
387.739,0.274312
388.54,0.260347
391.704,0.252999
392.463,0.252858
395.659,0.258383
396.265,0.268146
396.508,0.282976
396.629,0.304509
396.72,0.339058
396.785,0.381699
396.853,0.453041
396.913,0.546708
396.973,0.67883
397.037,0.874325
397.103,1.14059
397.183,1.54774
397.429,3.04805
397.515,3.40314
397.6,3.52801
397.688,3.39288
397.77,3.05367
397.935,2.04324
398.043,1.40583
398.12,1.037
398.183,0.808491
398.246,0.632126
398.303,0.518081
398.36,0.43664
398.426,0.372774
398.502,0.328168
398.612,0.294873
398.756,0.27687
399.116,0.263422
400.481,0.254109
405.553,0.251598
413.368,0.256552
413.931,0.265497
414.068,0.27715
414.159,0.294546
414.251,0.327087
414.332,0.375909
414.402,0.439472
414.49,0.552587
414.594,0.736268
414.826,1.21704
414.924,1.34912
415.0,1.38255
415.087,1.3385
415.197,1.17588
415.439,0.67349
415.524,0.533215
415.594,0.445007
415.665,0.380654
415.753,0.327862
415.844,0.296371
415.957,0.277215
416.125,0.266854
416.604,0.262464
417.949,0.27084
418.735,0.291805
419.062,0.313722
419.299,0.345634
419.447,0.38448
419.543,0.429249
419.624,0.491286
419.692,0.569596
419.75,0.66824
419.811,0.811988
419.87,1.00899
419.929,1.27156
419.995,1.6651
420.069,2.2408
420.157,3.12685
420.404,6.09611
420.502,6.93634
420.594,7.24205
420.6,7.24302
420.682,7.02612
420.77,6.35724
420.911,4.72341
421.052,3.02428
421.138,2.17444
421.205,1.66398
421.271,1.27106
421.33,1.00882
421.385,0.823563
421.451,0.666683
421.516,0.558916
421.595,0.473976
421.673,0.420084
421.778,0.375995
421.942,0.338104
422.105,0.316699
422.432,0.293114
422.956,0.275696
424.101,0.262458
425.15,0.259631
425.717,0.262916
425.906,0.27116
426.031,0.288399
426.126,0.316297
426.205,0.356422
426.283,0.418421
426.359,0.5044
426.452,0.64618
426.633,1.00591
426.762,1.23408
426.862,1.327
426.9,1.33475
426.996,1.28489
427.09,1.15175
427.341,0.658145
427.435,0.510626
427.514,0.420135
427.591,0.358073
427.673,0.315387
427.775,0.285334
427.92,0.26714
428.234,0.258006
431.795,0.25259
432.965,0.252498
439.562,0.258269
441.032,0.270702
441.496,0.282473
441.875,0.303086
442.096,0.328388
442.243,0.361794
442.359,0.412414
442.444,0.477695
442.512,0.558195
442.572,0.662847
442.635,0.816841
442.698,1.02787
442.765,1.3328
442.837,1.76979
442.916,2.38083
443.038,3.55003
443.196,5.1393
443.298,5.87311
443.395,6.1414
443.4,6.14192
443.493,5.9166
443.586,5.29575
443.759,3.57827
443.878,2.42528
443.957,1.80585
444.027,1.37537
444.089,1.08057
444.15,0.861181
444.211,0.699813
444.278,0.573335
444.346,0.487538
444.414,0.429874
444.495,0.384825
444.576,0.355978
444.731,0.324125
444.886,0.306314
445.195,0.286747
445.722,0.271517
446.867,0.259981
451.263,0.253118
454.008,0.252729
463.49,0.258423
466.243,0.270596
467.221,0.282961
467.967,0.302206
468.481,0.327893
468.845,0.360075
469.163,0.409385
469.369,0.463394
469.543,0.537918
469.675,0.631782
469.778,0.748344
469.855,0.879292
469.933,1.06897
469.997,1.2917
470.064,1.60902
470.135,2.06914
470.205,2.68993
470.28,3.55061
470.361,4.74573
470.47,6.75306
470.674,10.881
470.787,12.557
470.889,13.1699
470.9,13.1759
470.999,12.6967
471.111,11.1473
471.393,5.54019
471.487,4.00659
471.559,3.07473
471.631,2.35019
471.7,1.82427
471.77,1.43727
471.831,1.18464
471.908,0.960156
471.994,0.790531
472.091,0.66372
472.214,0.563584
472.354,0.49151
472.527,0.434526
472.817,0.377716
473.164,0.339158
473.679,0.308032
474.193,0.290956
475.223,0.27368
477.487,0.260401
484.28,0.253722
487.22,0.257538
487.745,0.266998
487.902,0.282402
488.008,0.306981
488.086,0.339887
488.165,0.391737
488.239,0.463394
488.313,0.562206
488.401,0.71981
488.528,1.00799
488.714,1.4505
488.827,1.61828
488.9,1.65169
488.992,1.59983
489.089,1.44539
489.379,0.762558
489.478,0.580636
489.56,0.469041
489.645,0.388474
489.729,0.337398
489.801,0.310068
489.898,0.289217
490.044,0.276243
490.236,0.272951
490.522,0.278459
490.722,0.292599
490.837,0.312075
490.922,0.339067
491.008,0.384786
491.08,0.444851
491.153,0.536429
491.231,0.674186
491.308,0.863563
491.399,1.16016
491.525,1.67569
491.69,2.38187
491.793,2.69766
491.894,2.81966
491.9,2.82007
492.001,2.71135
492.097,2.43072
492.389,1.20282
492.481,0.894773
492.56,0.693576
492.629,0.562444
492.7,0.464783
492.772,0.397485
492.843,0.352596
492.929,0.318867
493.043,0.294277
493.266,0.274875
493.638,0.264299
495.239,0.254506
501.726,0.251648
508.842,0.255316
510.28,0.263629
510.882,0.277799
511.131,0.293871
511.321,0.321447
511.454,0.360311
511.561,0.412922
511.666,0.492946
511.767,0.60328
511.887,0.781625
512.175,1.30834
512.305,1.47026
512.4,1.50846
512.511,1.45556
512.637,1.28815
512.931,0.751874
513.052,0.579447
513.161,0.469801
513.261,0.400325
513.387,0.346192
513.539,0.311007
513.776,0.286187
514.013,0.275192
514.849,0.262066
