96-Cm-244(n,total fission) ENDF/B-VII.1
1.0E-5,51.814
1.31241E-5,45.2285
1.70876E-5,39.6373
2.2426E-5,34.5997
2.91987E-5,30.3225
3.83206E-5,26.4683
4.98935E-5,23.1964
6.54808E-5,20.2481
8.52562E-5,17.7454
1.11891E-4,15.4898
1.45682E-4,13.5748
1.91195E-4,11.8497
2.48937E-4,10.3848
3.26707E-4,9.06444
4.25373E-4,7.94377
5.58264E-4,6.93375
7.26861E-4,6.07671
9.53941E-4,5.30405
0.00124203,4.64782
0.00163006,4.05665
0.00212234,3.55479
0.00278538,3.10243
0.00362657,2.71866
0.00475955,2.37701
0.00619694,2.08249
0.00813293,1.81647
0.0105891,1.59318
0.0138972,1.38784
0.0180942,1.21446
0.0234661,1.06671
0.0253,1.02554
0.033204,0.891849
0.0474582,0.743813
0.0617907,0.648782
0.0883169,0.53922
0.121069,0.456304
0.150913,0.405157
0.206879,0.341965
0.270479,0.293836
0.353506,0.251248
0.461958,0.214264
0.599491,0.181507
0.818972,0.147314
1.06556,0.122397
1.30853,0.104907
1.59588,0.0895289
1.97434,0.0751775
2.44158,0.0629422
2.9976,0.0530933
3.46484,0.0475596
4.02553,0.0435291
4.58622,0.0421649
5.05346,0.0435796
5.35716,0.0463444
5.66087,0.0514551
5.94121,0.0596197
6.15147,0.0693819
6.32668,0.0816256
6.46686,0.0957136
6.60703,0.115918
6.72092,0.139397
6.82605,0.170174
6.92096,0.209954
6.99396,0.252782
7.05967,0.305384
7.12245,0.374756
7.18086,0.465224
7.23196,0.576656
7.27869,0.72043
7.31957,0.898167
7.35228,1.09517
7.38323,1.35209
7.41185,1.68528
7.43638,2.08697
7.45682,2.55154
7.47434,3.09739
7.49011,3.77143
7.50413,4.59884
7.51581,5.54159
7.52662,6.72055
7.53684,8.22778
7.54706,10.2712
7.55757,13.1391
7.56779,16.9081
7.57889,22.3725
7.59057,29.9178
7.60342,40.3987
7.64243,77.9014
7.65692,87.1344
7.66972,89.9503
7.68402,86.4153
7.6992,76.0293
7.73892,37.9353
7.75235,27.5721
7.76286,21.2019
7.7725,16.6336
7.78272,12.9312
7.79148,10.5208
7.8017,8.39801
7.81192,6.83092
7.82419,5.46726
7.83733,4.428
7.8531,3.54784
7.86916,2.90972
7.8896,2.32955
7.91296,1.86309
7.93749,1.51333
7.96553,1.22466
7.99707,0.990658
8.03445,0.792273
8.07299,0.644947
8.11972,0.516241
8.17374,0.411021
8.23215,0.330472
8.29785,0.265897
8.36794,0.21649
8.44679,0.176447
8.53877,0.142859
8.63952,0.116556
8.76217,0.093935
8.88482,0.077874
9.02792,0.064398
9.21189,0.0523153
9.41631,0.0431604
9.63241,0.0364041
9.91275,0.0304502
9.95638,0.0300297
10.0179,0.0311205
10.1075,0.0364273
10.7246,0.081993
12.338,0.212285
13.0,0.266633
14.5104,0.280641
