94-Pu-242(n,total fission) ENDF/B-VII.1
67.7727,0.367239
67.8045,0.256825
67.8279,0.190997
67.8504,0.140795
67.8711,0.104622
67.8893,0.0799749
67.9065,0.061656
67.9238,0.0475093
67.9411,0.0367407
67.9583,0.028641
67.9765,0.0223456
67.9946,0.0177476
68.0127,0.0143923
68.0313,0.0118825
68.0524,0.00981881
68.0766,0.00815305
68.1068,0.00671619
68.1422,0.00556252
68.1854,0.00458218
68.2372,0.00374937
68.2942,0.00308732
68.3667,0.0024804
68.4427,0.00202376
68.5256,0.00165939
68.6223,0.0013488
68.7363,0.0010848
68.8572,8.82673E-4
68.9988,7.11657E-4
69.168,5.66518E-4
69.3407,4.6078E-4
69.5341,3.74865E-4
69.7551,3.03999E-4
70.0093,2.45986E-4
70.2998,1.98999E-4
70.6084,1.62735E-4
70.9897,1.31037E-4
71.3891,1.07657E-4
71.843,8.87482E-5
72.3876,7.32597E-5
72.9504,6.15397E-5
73.5314,5.28352E-5
74.2576,4.50442E-5
75.2016,3.81952E-5
76.2909,3.32164E-5
77.3076,2.99771E-5
78.4695,2.75531E-5
79.0505,2.66644E-5
81.3158,2.52144E-5
82.8657,2.58908E-5
84.0579,2.79522E-5
84.9223,3.09397E-5
85.5184,3.49347E-5
85.9655,3.97965E-5
86.2678,4.50465E-5
86.5701,5.29996E-5
86.8014,6.21484E-5
87.0098,7.46518E-5
87.1586,8.76938E-5
87.3032,1.05808E-4
87.4322,1.29436E-4
87.5428,1.591E-4
87.6321,1.93645E-4
87.7086,2.35768E-4
87.7767,2.89776E-4
87.8263,3.46896E-4
87.866,4.13124E-4
87.9007,4.99422E-4
87.9269,5.95731E-4
87.9517,7.27905E-4
87.973,8.90119E-4
87.9907,0.00107527
88.0084,0.00132296
88.0276,0.00168493
88.0446,0.0021153
88.0616,0.00267775
88.0786,0.00340644
88.0984,0.0045193
88.1183,0.00598189
88.1396,0.00802237
88.1608,0.010643
88.1849,0.0144189
88.2133,0.0200648
88.2459,0.0281854
88.2969,0.0436704
88.3638,0.0644561
88.4069,0.0738556
88.4473,0.0772537
88.4498,0.0772655
88.4863,0.0747759
88.5226,0.0678456
88.5747,0.0527458
88.6456,0.0304951
88.6796,0.0216432
88.708,0.0156849
88.7328,0.0115489
88.7562,0.00849975
88.7775,0.00635532
88.7959,0.00490773
88.8157,0.00370301
88.8327,0.00291005
88.8498,0.00229531
88.8668,0.00182315
88.8845,0.00145021
88.9022,0.00117057
88.9199,9.6137E-4
88.9412,7.783E-4
88.9624,6.47713E-4
88.9873,5.39924E-4
89.0114,4.65391E-4
89.0454,3.91247E-4
89.0879,3.27954E-4
89.1418,2.72668E-4
89.2098,2.24069E-4
89.2892,1.84386E-4
89.3799,1.52457E-4
89.482,1.2707E-4
89.6124,1.04569E-4
89.7542,8.78167E-5
89.9243,7.40647E-5
90.1455,6.22901E-5
90.3971,5.37435E-5
90.7564,4.63964E-5
91.1877,4.13181E-5
91.7931,3.79849E-5
92.3985,3.65243E-5
92.802,3.62346E-5
93.7706,3.70623E-5
95.6628,4.27607E-5
96.7741,4.85668E-5
97.8854,5.69426E-5
98.9967,6.87645E-5
99.9691,8.42577E-5
100.803,1.03506E-4
101.497,1.26279E-4
102.122,1.55228E-4
102.747,1.96049E-4
103.216,2.40172E-4
103.633,2.94524E-4
103.998,3.59937E-4
104.371,4.52832E-4
104.65,5.50183E-4
104.934,6.86341E-4
105.188,8.57886E-4
105.412,0.00107135
105.6,0.0013201
105.778,0.00164835
105.934,0.00205116
106.078,0.0025737
106.198,0.00318255
106.303,0.00392286
106.4,0.00488379
106.486,0.00606837
106.559,0.00750261
106.62,0.00920246
106.665,0.0109801
106.708,0.0133955
106.742,0.0162241
106.772,0.0197946
106.798,0.0243035
106.824,0.0305248
106.847,0.0383144
106.871,0.0489724
106.893,0.0629283
106.917,0.0821338
106.94,0.108393
106.965,0.144168
106.99,0.191897
107.017,0.258928
107.048,0.353054
107.084,0.494283
107.135,0.738711
107.222,1.19029
107.271,1.36718
107.317,1.4314
107.32,1.43157
107.365,1.37579
107.412,1.21423
107.494,0.798419
107.549,0.523247
107.585,0.376722
107.617,0.275114
107.644,0.203877
107.669,0.15492
107.693,0.116891
107.716,0.0892364
107.738,0.069728
107.759,0.054805
107.78,0.043497
107.802,0.0349842
107.826,0.0278205
107.852,0.0224297
107.881,0.0181035
107.91,0.0150732
107.942,0.0127263
107.985,0.0105049
108.036,0.00865754
108.098,0.00707961
108.171,0.00575785
108.257,0.00465439
108.359,0.00371431
108.462,0.00303883
108.589,0.00243478
108.725,0.00196873
108.876,0.00159504
109.047,0.00128922
109.247,0.00103228
109.462,8.34568E-4
109.696,6.78058E-4
109.952,5.53201E-4
110.258,4.4549E-4
110.604,3.59092E-4
110.999,2.8787E-4
111.415,2.34275E-4
111.89,1.90281E-4
112.445,1.53836E-4
113.039,1.2653E-4
113.693,1.0466E-4
114.485,8.59775E-5
115.278,7.27432E-5
116.308,6.0886E-5
117.497,5.22661E-5
118.289,4.80434E-5
119.24,4.45284E-5
120.966,4.15544E-5
121.424,4.14433E-5
122.603,4.24326E-5
123.912,4.63459E-5
124.893,5.18289E-5
125.679,5.92342E-5
126.431,7.04392E-5
127.004,8.33951E-5
127.495,9.90379E-5
127.904,1.17935E-4
128.296,1.43777E-4
128.624,1.74379E-4
128.908,2.11077E-4
129.151,2.54497E-4
129.377,3.10387E-4
129.587,3.82523E-4
129.78,4.76581E-4
129.935,5.82054E-4
130.078,7.16496E-4
130.207,8.85264E-4
130.318,0.00108685
130.417,0.00133598
130.501,0.00163214
130.578,0.00200783
130.638,0.00242952
130.687,0.00291212
130.723,0.00342513
130.759,0.00416152
130.787,0.0049829
130.816,0.00614229
130.84,0.00752842
130.863,0.00928982
130.887,0.011902
130.908,0.0149044
130.93,0.0188195
130.951,0.023881
130.975,0.0314134
131.0,0.0417031
131.025,0.0550113
131.053,0.0737621
131.083,0.0998102
131.116,0.135163
131.16,0.194676
131.29,0.404356
131.345,0.468223
131.395,0.491379
131.4,0.491601
131.445,0.475329
131.49,0.430054
131.563,0.319107
131.642,0.191331
131.682,0.137363
131.716,0.100185
131.747,0.0741074
131.774,0.0553181
131.799,0.0422044
131.823,0.0321806
131.847,0.0244779
131.871,0.0186522
131.896,0.0143059
131.92,0.0110982
131.944,0.00874791
131.968,0.00703146
131.992,0.00577575
132.018,0.00481766
132.048,0.00399251
132.083,0.00332126
132.123,0.00278828
132.174,0.00232347
132.234,0.00192994
132.307,0.00159081
132.399,0.00128147
132.496,0.00105017
132.609,8.545E-4
132.746,6.84907E-4
132.887,5.59908E-4
133.06,4.49932E-4
133.258,3.61626E-4
133.463,2.96137E-4
133.689,2.44087E-4
133.968,1.98257E-4
134.289,1.61373E-4
134.663,1.31645E-4
135.091,1.08691E-4
135.572,9.07494E-5
136.054,7.84308E-5
136.695,6.74619E-5
137.337,6.04706E-5
138.069,5.56381E-5
138.801,5.3043E-5
139.679,5.23972E-5
140.848,5.49481E-5
141.907,6.10987E-5
142.79,6.99803E-5
143.569,8.2198E-5
144.194,9.64212E-5
144.811,1.17077E-4
145.351,1.41981E-4
145.812,1.7285E-4
146.25,2.14811E-4
146.624,2.65927E-4
146.942,3.26626E-4
147.236,4.05408E-4
147.473,4.93618E-4
147.691,6.05244E-4
147.896,7.50482E-4
148.065,9.1569E-4
148.223,0.00112726
148.358,0.00137588
148.482,0.00168776
148.592,0.00207029
148.696,0.00257116
148.777,0.00311571
148.844,0.00373673
148.905,0.00451843
148.95,0.00533753
148.989,0.00634812
149.023,0.00757547
149.055,0.00923279
149.083,0.0112354
149.11,0.0140169
149.134,0.0172621
149.158,0.0215772
149.181,0.0271361
149.205,0.0345996
149.228,0.0443178
149.255,0.0588704
149.282,0.0779372
149.31,0.102711
149.338,0.135703
149.371,0.182457
149.408,0.250474
149.459,0.36343
149.585,0.682665
149.642,0.786804
149.696,0.824622
149.7,0.824819
149.749,0.797102
149.797,0.720033
149.869,0.547885
149.956,0.327412
150.002,0.230422
150.038,0.169062
150.072,0.123468
150.103,0.0910027
150.131,0.0682337
150.157,0.0517642
150.181,0.0403899
150.204,0.0315863
150.228,0.024846
150.252,0.0197308
150.278,0.0154822
150.306,0.0122832
150.333,0.00998435
150.365,0.00812013
150.402,0.00662905
150.441,0.00552679
150.486,0.00464647
150.542,0.00387117
150.619,0.00313507
150.7,0.00258164
