64-Gd-155(n,total) ENDF/B-VII.1
12.9438,13.976
13.1174,13.1186
13.2317,12.973
13.3925,13.2938
13.5532,14.375
13.6949,16.3235
13.7985,18.7728
13.8847,21.9936
13.9551,25.9764
14.0202,31.4978
14.0666,37.2198
14.1091,44.5524
14.1509,54.9374
14.1851,67.2666
14.2153,82.9308
14.2412,102.108
14.2631,124.75
14.283,152.801
14.3029,190.76
14.3242,245.902
14.3454,320.315
14.3686,427.662
14.3945,579.641
14.4577,1006.32
14.4834,1128.67
14.5102,1175.77
14.5312,1146.62
14.5573,1038.32
14.6016,749.504
14.6374,515.036
14.6613,388.379
14.6826,300.14
14.7025,236.694
14.7224,188.825
14.7423,153.145
14.7662,122.115
14.7921,98.4889
14.818,81.6796
14.8478,67.7197
14.8837,55.822
14.9215,46.861
14.9693,38.8109
15.0251,32.2673
15.0941,26.7198
15.1737,22.4032
15.2534,19.4254
15.3596,16.6913
15.4658,14.8159
15.6251,12.9511
15.8099,11.6098
16.0732,10.5261
16.3704,9.97675
16.536,9.90019
16.8294,10.2126
17.0476,11.0821
17.1951,12.4279
17.2899,14.0838
17.3577,16.1115
17.4103,18.6863
17.4487,21.6093
17.4807,25.2403
17.5097,30.0677
17.536,36.4004
17.5623,45.3891
17.5887,57.8924
17.6154,74.8419
17.6496,102.74
17.7146,161.197
17.7447,178.987
17.7701,184.108
17.7941,179.56
17.8266,160.612
17.9118,85.8806
17.9423,64.7779
17.9702,50.4176
17.9965,40.6396
18.0228,33.7352
18.0499,28.788
18.086,24.4248
18.1244,21.4923
18.1733,19.182
18.232,17.5687
18.3358,16.2719
18.4201,16.0012
18.5465,16.3634
18.727,18.096
18.8894,20.9801
19.0246,24.8218
19.1316,29.3601
19.2218,34.8972
19.2992,41.6845
19.3691,50.4793
19.4261,60.7204
19.4776,73.9191
19.5183,88.6624
19.5523,105.677
19.5869,130.23
19.6154,159.228
19.6391,192.816
19.6622,237.481
19.6859,300.863
19.709,385.174
19.7334,505.492
19.7589,670.35
19.7897,924.555
19.8608,1592.17
19.8929,1794.56
19.9198,1852.64
19.9477,1789.92
19.9797,1584.53
20.0632,817.595
20.0927,601.117
20.1171,463.943
20.1398,367.834
20.1636,294.312
20.1867,243.233
20.2111,205.12
20.2416,173.386
20.2782,150.288
20.3129,137.908
20.3475,131.626
20.3705,130.028
20.4304,133.84
20.4903,148.71
20.5444,173.644
20.587,204.18
20.6225,240.63
20.6587,293.679
20.6885,356.084
20.7133,427.946
20.7389,529.98
20.7623,659.72
20.7858,838.225
20.8081,1069.57
20.8305,1376.41
20.8543,1800.61
20.8809,2403.23
20.9249,3637.32
20.9735,4995.96
21.0073,5598.75
21.0305,5731.25
21.0573,5566.51
21.0908,4941.41
21.1787,2499.41
21.2089,1824.8
21.2345,1384.42
21.2586,1070.19
21.2835,831.609
21.3083,658.858
21.3314,541.438
21.3591,438.727
21.3885,360.352
21.4205,298.804
21.4588,245.473
21.5014,202.826
21.5526,166.077
21.6122,135.631
21.6775,111.884
21.757,91.4119
21.8493,74.8432
21.9587,61.27
22.0765,51.1424
22.2215,42.6572
22.3905,36.2368
22.5715,32.1451
22.7043,30.6478
22.7928,30.3967
22.9336,31.6526
23.0421,34.8399
23.119,39.2481
23.1806,45.089
23.2345,53.1815
23.2729,61.884
23.3114,74.7359
23.3422,89.8736
23.371,110.262
23.3964,135.53
23.4211,169.191
23.4453,213.893
23.4695,272.731
23.4972,359.624
23.5346,508.744
23.6041,819.677
23.6355,920.545
23.6693,964.301
23.6706,964.431
23.702,931.996
23.7414,809.411
23.827,436.784
23.8578,327.762
23.8847,253.141
23.9116,196.656
23.9347,160.334
23.9597,130.839
23.9897,105.397
24.0224,86.1124
24.0609,70.5554
24.1071,57.9653
24.1625,47.8591
24.224,40.2656
24.2979,34.0455
24.3949,28.603
24.4949,24.8338
24.6149,21.7172
24.8089,18.4474
25.0397,16.0425
25.2706,14.4771
25.6709,12.8005
26.0881,11.8769
26.3876,11.6505
26.7108,12.0631
26.8763,12.887
27.0025,14.2553
27.086,15.982
27.1475,18.1749
27.1987,21.2392
27.2389,25.1476
27.272,30.0717
27.3004,36.151
27.3288,44.5901
27.3603,57.4773
27.393,75.2984
27.4391,107.318
27.5013,152.727
27.5322,168.889
27.5687,176.771
27.5704,176.795
27.599,172.573
27.6362,155.507
27.7418,81.0148
27.7773,61.2722
27.8088,48.1141
27.8404,38.628
27.8727,31.8806
27.9042,27.3794
27.9357,24.2752
27.9744,21.7053
28.0146,19.934
28.095,17.9151
28.1754,16.9856
28.2637,16.6604
28.4055,17.1345
28.5521,18.7311
28.701,21.7742
28.8003,25.0218
28.8899,29.3309
28.97,34.9818
29.0367,41.8572
29.097,50.9936
29.1391,60.1478
29.1813,73.2168
29.215,88.316
29.243,105.902
29.2711,130.282
29.2996,164.864
29.3266,210.345
29.3529,269.751
29.3813,353.65
29.4171,489.746
29.5135,928.367
29.553,1046.26
29.581,1075.61
29.6182,1038.62
29.6614,908.314
29.7358,627.604
29.7639,554.062
29.7878,519.271
29.8046,512.846
29.8281,531.946
29.8516,586.896
29.8757,684.083
29.9034,848.351
29.9347,1102.52
29.9896,1667.84
30.0379,2151.43
30.0735,2381.91
30.1007,2441.3
30.1287,2384.56
30.164,2159.25
30.2214,1576.71
30.2718,1053.99
30.3046,778.465
30.3339,587.042
30.3605,455.678
30.387,357.794
30.4146,283.738
30.4422,230.405
30.4698,191.692
30.503,158.279
30.5444,129.259
30.5858,108.914
30.6437,89.0189
30.7113,73.2676
30.7917,60.6038
30.8687,52.2066
30.974,44.4313
31.0589,40.3355
31.172,37.3565
31.2137,37.0476
31.2882,38.0903
31.3373,40.6867
31.3701,43.9473
31.4058,49.7834
31.4397,58.6187
31.4713,70.972
31.5048,89.5892
31.5421,117.789
31.5986,172.939
31.6545,226.934
31.6974,252.352
31.7208,256.467
31.751,250.491
31.7891,226.804
31.8629,154.568
31.9091,111.621
31.9463,84.6849
31.9798,66.8251
32.0126,54.37
32.0461,45.5343
32.0863,38.5114
32.1272,33.8923
32.1697,30.7119
32.2263,27.9403
32.3111,25.5192
32.4103,24.1992
32.4812,23.9811
32.5649,24.5217
32.6487,26.2891
32.7115,29.0942
32.7638,33.4254
32.8005,38.4848
32.8357,45.9996
32.865,55.1591
32.8943,67.8743
32.9257,86.3285
32.9627,115.051
33.0248,176.15
33.073,222.322
33.1154,249.097
33.1489,255.719
33.1847,248.206
33.288,189.836
33.3293,178.354
33.3395,177.852
33.3701,181.681
33.4774,219.228
33.496,221.208
33.5322,215.929
33.5741,194.902
33.6441,139.189
33.6951,99.3798
33.7315,76.999
33.7654,61.4549
33.7986,50.6124
33.827,44.0575
33.8671,37.9173
33.9181,33.4916
33.9793,31.0041
34.0347,30.2842
34.1076,30.8575
34.1805,33.0295
34.2528,37.1464
34.3121,42.7203
34.3596,49.4911
34.407,59.6589
34.446,72.1494
34.4786,86.9965
34.5108,107.281
34.5404,132.737
34.5701,166.405
34.6056,219.652
34.6462,298.208
34.7521,543.04
34.7905,605.062
34.8319,629.847
34.8648,613.768
34.9075,551.364
35.0237,295.538
35.0632,227.372
35.0949,187.146
35.1245,160.922
35.1542,145.155
35.1868,139.152
35.2198,144.727
35.2535,162.224
35.2902,193.982
35.3502,265.816
35.4041,329.764
35.4472,360.022
35.469,363.999
35.5,355.192
35.5383,322.962
35.6056,233.573
35.6617,158.99
35.6992,119.819
35.7329,93.1695
35.7644,74.8818
35.7962,61.5527
35.828,52.0949
35.867,44.143
35.9074,38.6019
35.9613,33.7566
36.0153,30.605
36.0692,28.4785
36.1681,26.2559
36.2669,25.5688
36.3543,26.1056
36.4417,27.937
36.5238,31.4262
36.5921,36.6069
36.64,42.4592
36.6831,50.54
36.7207,61.3316
36.7508,74.0318
36.7771,89.5894
36.8048,112.264
36.8287,138.794
36.8527,173.468
36.8814,228.021
36.9121,304.165
36.9504,424.285
37.0475,773.787
37.0872,867.965
37.1219,895.889
37.1545,869.953
37.1911,787.073
37.2561,561.009
37.3111,369.327
37.3456,273.227
37.3764,206.818
37.4044,160.95
37.4318,127.497
37.4591,102.848
37.4885,83.6771
37.5186,69.6512
37.5562,57.4163
37.6014,47.5538
37.6506,40.2937
37.7121,34.1279
37.786,29.1562
37.8674,25.4483
37.9825,22.0281
38.1207,19.5788
38.262,18.3175
38.3572,18.1413
38.4524,18.7414
38.5238,20.1311
38.5834,22.5979
38.628,26.0067
38.6637,30.4128
38.6987,36.9381
38.7314,45.7749
38.7634,57.601
38.8006,75.7711
38.8512,107.188
38.9211,152.908
38.9643,172.209
39.0027,178.006
39.0393,172.148
39.0863,150.699
39.1957,80.6373
39.2366,60.0163
39.2701,47.2666
39.3036,37.8794
39.3393,30.8309
39.3753,25.9708
39.4196,22.0518
39.4702,19.22
39.5461,16.6683
39.6309,14.9675
39.75,13.5127
39.9493,12.1418
40.2291,11.1251
40.6368,10.3866
41.2367,10.0542
41.6967,10.3329
42.0417,11.0354
42.3292,12.2422
42.5687,14.0971
42.7365,16.2657
42.8802,19.1588
43.0,22.8462
43.0939,27.1145
43.1744,32.3557
43.2434,38.713
43.3105,47.5817
43.368,58.6857
43.414,71.445
43.4523,86.2974
43.4907,107.091
43.5252,133.395
43.5539,163.124
43.587,209.255
43.6172,265.766
43.6517,351.103
43.69,475.423
43.736,664.378
43.8357,1120.74
43.8786,1255.65
43.9208,1304.97
43.9583,1269.42
44.0036,1138.4
44.0868,767.301
44.1409,534.683
44.1792,402.365
44.2137,309.464
44.2458,243.397
44.2794,191.79
44.31,156.79
44.3436,128.419
44.3838,104.027
44.4298,84.6582
44.4777,70.5453
44.5353,58.6098
44.6043,48.6542
44.6847,40.6528
44.7787,34.2778
44.891,29.1884
45.0034,25.8367
45.1382,23.3482
45.2921,22.1253
45.3434,22.1116
45.4396,22.7778
45.5357,24.8453
45.6079,28.2118
45.656,32.2052
45.698,37.7785
45.7337,44.9143
45.7674,54.6064
45.801,68.165
45.8339,86.053
45.87,111.714
45.9181,155.441
46.0166,256.119
46.0577,285.277
46.1026,297.306
46.1385,289.898
46.1834,261.914
46.3068,145.935
46.3469,116.72
46.3789,99.8683
46.4094,89.4839
46.4382,84.7297
46.4527,84.2405
46.4753,86.1374
46.5037,93.4919
46.532,107.212
46.5592,127.424
46.5855,154.819
46.6171,199.265
46.6507,261.358
46.6962,367.886
46.7857,601.38
46.8231,672.33
46.8643,708.218
46.873,709.172
46.9063,690.889
46.9503,619.656
47.0228,436.798
47.0801,293.073
47.1179,216.762
47.1522,163.405
47.1815,128.789
47.2111,102.561
47.2374,85.2242
47.2704,69.5853
47.2986,60.1547
47.3362,51.611
47.3737,46.375
47.4207,43.2907
47.4387,42.9869
47.4746,43.73
47.5201,47.1075
47.5892,56.1327
47.6582,65.64
47.7123,69.2432
47.7178,69.305
47.7631,67.436
47.8211,59.5578
47.944,36.1401
47.9923,29.106
48.0365,24.4692
48.0821,21.2013
48.1276,19.0414
48.2105,16.7523
48.3485,14.871
48.5888,13.2833
48.945,12.2474
49.2211,12.0333
49.4976,12.2884
49.7742,13.1687
49.997,14.6165
50.1827,16.7122
50.3312,19.4131
50.4516,22.7592
50.5516,26.8685
50.6349,31.8286
50.7136,38.6686
50.7698,45.6884
50.8228,55.0499
50.871,67.415
50.9111,82.35
50.9432,99.0096
50.9753,121.788
51.0074,153.088
51.0396,195.867
51.0725,255.041
51.1078,339.464
51.1455,456.155
51.1969,655.645
51.2901,1047.9
51.3312,1170.61
51.3751,1227.03
51.381,1227.81
51.4211,1190.08
51.4667,1067.35
51.5944,559.765
51.6345,433.434
51.6707,350.17
51.7029,301.107
51.7275,279.445
51.7561,270.856
51.7804,277.513
51.8106,303.944
51.8409,351.078
51.8745,428.307
51.9149,554.407
51.9821,824.099
52.0507,1097.02
52.0997,1221.12
52.1361,1248.83
52.1703,1219.48
52.214,1111.92
52.283,843.658
52.3561,547.417
52.3998,405.647
52.4376,311.022
52.4746,241.943
52.5103,193.537
52.546,159.122
52.5858,132.965
52.6284,115.345
52.6625,107.12
52.7056,103.008
52.7146,102.987
52.7507,105.764
52.7882,113.421
52.8494,135.11
52.9577,182.257
53.0111,194.188
53.0278,194.938
53.0745,188.958
53.13,168.988
53.2218,126.99
53.2634,113.722
53.2968,108.887
53.3079,108.699
53.3441,113.987
53.3742,126.557
53.4043,148.228
53.4314,176.843
53.4638,224.396
53.497,289.506
53.5406,399.449
53.6503,727.171
53.6961,824.387
53.7406,860.1
53.7779,838.434
53.8222,757.268
53.8945,549.191
53.9584,361.768
53.9989,265.817
54.0347,199.964
54.0658,156.445
54.0939,126.661
54.1238,102.828
54.1587,82.9131
54.1935,69.0614
54.2284,59.3078
54.2783,49.8421
54.3431,41.9918
54.4241,35.7718
54.5374,30.3021
54.6815,26.0052
54.8255,23.2424
54.9984,21.0728
55.203,19.5667
55.4076,19.1282
55.5405,19.7541
55.6428,21.3581
55.7153,23.9321
55.7661,27.2832
55.8096,32.0101
55.8444,37.6873
55.8787,45.6272
55.9131,56.5373
55.9497,72.0861
55.9955,97.6217
56.0704,150.464
56.1284,191.084
56.1711,212.858
56.2198,222.977
56.2209,222.998
56.2664,215.692
56.3208,189.029
56.4445,102.754
56.4903,76.809
56.5269,60.7312
56.5613,49.2413
56.5956,40.6948
56.6376,33.344
56.6812,28.2669
56.7247,24.8729
56.7827,21.9158
56.8552,19.5989
56.9606,17.5573
57.1362,15.6757
57.4111,14.2642
57.74,13.6898
57.794,13.684
58.0823,14.172
58.2985,15.4746
58.4383,17.2219
58.5401,19.3928
58.6248,22.2891
58.6893,25.6865
58.7486,30.4727
58.7961,36.3049
58.8393,44.2325
58.8775,54.4867
58.9118,67.5645
58.9461,85.6929
58.9792,109.382
59.0148,143.349
59.0542,192.718
59.1021,269.578
59.2267,504.686
59.2793,571.274
59.3245,590.137
59.3688,569.69
59.4234,499.094
59.5565,254.44
59.6031,185.638
59.6392,144.205
59.6722,114.694
59.7083,90.4578
59.7464,71.9229
59.7846,58.7959
59.827,48.602
59.8761,40.5418
59.9304,34.5156
59.9982,29.4254
60.0745,25.5422
60.1847,21.8246
60.317,18.9674
60.4899,16.6092
60.7442,14.5694
61.0833,13.1607
61.3718,12.6875
61.468,12.6741
61.7436,13.2298
61.909,14.3258
62.0376,16.0544
62.1234,18.0693
62.1984,20.9685
62.252,24.2877
62.301,29.0451
62.3402,34.9152
62.3745,42.4941
62.4039,51.6817
62.4333,64.3418
62.4639,82.4754
62.4945,107.135
62.5264,141.355
62.5607,189.629
62.5987,257.909
62.6501,372.707
62.7469,605.467
62.793,683.146
62.8407,714.978
62.8438,715.076
62.887,691.287
62.9404,605.817
63.0746,295.111
63.1144,220.315
63.1511,165.797
63.1818,130.623
63.2124,103.601
63.2424,83.6594
63.2767,67.0448
63.3067,56.5481
63.341,47.8459
63.3811,40.7208
63.4337,34.492
63.4967,29.6886
63.57,26.1543
63.6484,23.9627
63.7268,23.3035
63.7929,24.2095
63.8589,26.6761
64.024,35.9107
64.084,37.1209
64.1406,35.9814
64.2111,31.9309
64.3349,22.9068
64.3954,19.6438
64.4642,17.2803
64.5302,16.0787
64.6183,15.575
64.6888,15.9631
64.7555,17.3005
64.811,19.6797
64.8551,22.8548
64.9013,27.8287
64.9486,34.9373
65.018,48.7188
65.1055,67.0888
65.16,74.6568
65.2008,76.6142
65.2445,74.7069
65.3028,66.5125
65.4417,37.6896
65.4917,29.4576
65.5362,23.9963
65.5813,20.0654
65.6265,17.41
65.6862,15.228
65.7557,13.7959
65.8668,12.6083
66.0613,11.6196
66.2558,11.0834
66.8114,10.3077
67.484,9.99376
67.9775,10.2998
68.2678,11.0915
68.4551,12.2855
68.5814,13.8127
68.6655,15.5063
68.7287,17.4513
68.7846,20.0446
68.831,23.2832
68.8717,27.4604
68.9123,33.6309
68.9428,40.1903
68.9754,49.7943
69.0081,62.9318
69.0408,80.5957
69.0752,105.237
69.113,140.319
69.1598,196.065
69.2418,317.328
69.3158,420.944
69.3652,463.982
69.4034,474.96
69.4511,458.783
69.4958,417.0
69.58,298.778
69.6497,199.867
69.6968,145.836
69.736,110.985
69.7723,86.3907
69.805,69.6642
69.8413,55.9038
69.8819,45.0305
69.9225,37.5284
69.969,31.6672
70.027,26.8255
70.1025,22.8119
70.1969,19.6464
70.329,16.9004
70.4741,15.0165
70.6918,13.2777
71.0112,11.8277
71.5192,10.6139
72.303,9.67167
73.7694,8.81399
75.329,8.42012
75.8999,8.64161
76.1506,9.12294
76.3024,9.88108
76.3817,10.7071
76.4479,11.9646
76.4987,13.6255
76.5433,15.9331
76.5823,18.9316
76.6212,23.1837
76.6602,29.0244
76.7024,37.4252
76.7494,49.4678
76.8489,81.1985
76.922,102.133
76.9749,110.652
77.0043,111.977
77.0535,108.442
77.1003,99.1972
77.2033,68.463
77.266,50.5672
77.3126,40.2322
77.3523,33.8972
77.3898,30.004
77.4229,28.1685
77.4505,27.7063
77.4878,28.499
77.5294,31.0906
77.5919,37.6135
77.7057,51.9678
77.7645,56.6404
77.8037,57.5521
77.8511,56.0406
77.9027,51.5361
78.0581,31.7467
78.1094,26.9359
78.158,24.0751
78.1954,23.0773
78.2133,22.9876
78.2492,23.6238
78.2851,25.4864
78.321,28.8447
78.3581,34.3063
78.3952,42.3695
78.4322,53.7004
78.4693,68.9393
78.5092,90.2202
78.5562,121.734
78.7002,235.076
78.7544,263.593
78.8045,272.778
78.8547,263.316
78.9169,229.454
79.0637,116.245
79.1147,84.8872
79.1578,64.5186
79.1963,50.8235
79.2305,41.6741
79.27,33.9355
79.3115,28.2502
79.353,24.3298
79.4083,20.8961
79.4774,18.3441
79.5559,16.8583
79.6082,16.5235
79.6866,17.0901
79.7582,18.9439
79.838,22.53
79.9619,28.9895
80.0313,30.8877
80.0509,31.0054
80.1051,30.3042
80.1849,27.0611
80.295,21.5102
80.3501,19.746
80.3913,19.2904
80.4432,20.0936
80.4778,21.6713
80.5211,25.0649
80.5613,29.8608
80.6055,37.1385
80.6588,48.6419
80.7878,81.7309
80.8461,92.4811
80.9007,96.2561
80.9043,96.2566
80.9539,93.1188
81.0178,81.6478
81.1679,43.7
81.2215,33.0381
81.2682,26.0757
81.3095,21.5466
81.3586,17.7954
81.4077,15.3333
81.4498,13.9199
81.5059,12.6697
81.6153,11.3215
81.7976,10.2814
82.05,9.62576
82.4183,9.26797
82.534,9.24973
82.891,9.52701
83.123,10.1904
83.2926,11.252
83.4057,12.5767
83.492,14.3209
83.5515,16.2748
83.5961,18.4708
83.6407,21.6971
83.6779,25.5831
83.7166,31.313
83.7534,38.9821
83.7902,49.5206
83.827,63.6693
83.8646,82.5123
83.9092,111.255
83.965,156.384
84.087,267.379
84.147,305.925
84.2033,319.033
84.2524,309.518
84.313,274.158
84.4655,143.358
84.5139,110.262
84.553,90.0282
84.586,77.7021
84.6256,68.3896
84.667,64.482
84.6776,64.3486
84.7122,66.0895
84.763,73.7195
84.9154,110.164
84.9797,118.26
84.9992,118.719
85.0542,114.577
85.1185,100.839
85.2695,55.2716
85.3234,42.1134
85.3703,33.3484
85.419,26.7067
85.4684,22.041
85.5248,18.547
85.5813,16.3267
85.6645,14.349
85.7929,12.6773
85.9735,11.3865
86.1851,10.4895
86.6648,9.38464
87.2573,8.68077
88.5839,7.91996
89.0837,7.81812
89.5419,7.99729
89.7308,8.38545
89.8266,8.86261
89.8904,9.46248
89.9488,10.4138
90.0015,11.8593
90.0477,13.8441
90.0939,16.7898
90.1397,20.948
90.1897,27.1377
90.2473,36.4368
90.3834,62.254
90.4445,70.5397
90.5043,73.4915
90.5533,71.4911
90.6166,63.7429
90.7787,34.1995
90.8315,26.4474
90.8777,21.229
90.9263,17.2158
90.9749,14.4497
91.0304,12.4055
91.0998,10.9228
91.1821,10.0077
91.3192,9.36759
91.4442,9.2211
91.625,9.52017
91.7606,10.3262
91.8338,11.2107
91.9038,12.6977
91.9598,14.7285
92.0088,17.5443
92.0543,21.4702
92.0983,26.9439
92.1424,34.5254
92.1865,44.6062
92.2411,60.8286
92.3083,85.977
92.4899,162.037
92.5896,192.949
92.6814,208.433
92.721,209.926
92.7963,201.638
92.8694,178.791
92.9722,129.657
93.0639,84.7179
93.1218,61.9426
93.1663,48.3454
93.2086,38.4263
93.2506,31.1135
93.2926,25.8209
93.3406,21.6241
93.399,18.3452
93.4564,16.3817
93.5253,15.0745
93.5869,14.6492
93.6448,14.9012
93.7028,15.9181
93.7635,17.9834
93.8241,21.1599
93.9897,32.6932
94.0559,35.7396
94.1009,36.3981
94.1607,35.2683
94.231,31.4505
94.3869,19.9547
94.4538,16.2003
94.5124,13.9084
94.5828,12.2072
94.6572,11.2837
94.7634,10.8733
94.7751,10.8714
94.8804,11.1672
94.9841,12.1492
95.0551,13.5779
95.1119,15.6076
95.1545,18.0131
95.1943,21.2951
95.2341,25.9762
95.2738,32.515
95.3136,41.3913
95.3545,53.3714
95.4028,71.5929
95.4685,102.744
95.5807,160.706
95.6375,182.26
95.6938,192.101
95.708,192.448
95.7545,187.479
95.8193,167.03
95.9791,91.853
96.0303,73.1504
96.075,61.6521
96.1087,56.2649
96.1479,53.605
96.1535,53.5451
96.1814,54.4361
96.2148,58.0926
96.2565,66.5699
96.3062,82.019
96.3766,111.867
96.4839,161.703
96.5431,180.86
96.6006,187.631
96.6609,180.283
96.7219,159.802
96.8873,81.4993
96.9417,60.8677
96.9888,47.1193
97.0265,38.7493
