# pu239au197
1.000000000000000082e-05,4.268255422824561720e+03
1.002836715985624398e-05,4.273911177066002892e+03
1.005681478928831749e-05,4.279584764338817877e+03
1.008534311656555452e-05,4.285276219065913210e+03
1.011395237060482290e-05,4.290985575307664476e+03
1.014264278097235979e-05,4.296712866752924128e+03
1.017141457788562163e-05,4.302458126709897442e+03
1.020026799221512215e-05,4.308221388096855662e+03
1.022920325548629081e-05,4.314002683432693630e+03
1.025822059988132949e-05,4.319802044827324607e+03
1.028732025824107422e-05,4.325619503971924132e+03
1.031650246406686210e-05,4.331455092129005607e+03
1.034576745152241339e-05,4.337308840122320362e+03
1.037511545543570002e-05,4.343180778326614018e+03
1.040454671130083117e-05,4.349070936657180937e+03
1.043406145527995394e-05,4.354979344559260426e+03
1.046365992420513377e-05,4.360906030997261951e+03
1.049334235558026202e-05,4.366851024443791175e+03
1.052310898758296681e-05,4.372814352868524111e+03
1.055296005906651037e-05,4.378796043726846619e+03
1.058289580956171866e-05,4.384796123948366585e+03
1.061291647927889896e-05,4.390814619925180523e+03
1.064302230910976608e-05,4.396851557499981936e+03
1.067321354062937357e-05,4.402906961953949576e+03
1.070349041609805852e-05,4.408980857994444705e+03
1.073385317846338127e-05,4.415073269742504635e+03
1.076430207136207186e-05,4.421184220720130725e+03
1.079483733912199349e-05,4.427313733837357177e+03
1.082545922676409577e-05,4.433461831379103387e+03
1.085616798000438151e-05,4.439628534991834385e+03
1.088696384525588372e-05,4.445813865669966617e+03
1.091784706963063409e-05,4.452017843742061814e+03
1.094881790094165693e-05,4.458240488856818956e+03
1.097987658770497153e-05,4.464481819968784293e+03
1.101102337914149633e-05,4.470741855323857635e+03
1.104225852517919017e-05,4.477020612444563994e+03
1.107358227645496154e-05,4.483318108115066934e+03
1.110499488431670822e-05,4.489634358365942717e+03
1.113649660082532642e-05,4.495969378458693427e+03
1.116808767875673864e-05,4.502323182870019082e+03
1.119976837160392141e-05,4.508695785275822345e+03
1.123153893357893987e-05,4.515087198534947674e+03
1.126339961961498575e-05,4.521497434672664895e+03
1.129535068536842210e-05,4.527926504863867194e+03
1.132739238722083989e-05,4.534374419415997181e+03
1.135952498228110782e-05,4.540841187751695543e+03
1.139174872838744417e-05,4.547326818391164124e+03
1.142406388410947508e-05,4.553831318934244337e+03
1.145647070875032335e-05,4.560354696042171781e+03
1.148896946234867180e-05,4.566896955419078949e+03
1.152156040568086561e-05,4.573458101793156857e+03
1.155424380026299771e-05,4.580038138897527460e+03
1.158701990835300436e-05,4.586637069450780473e+03
1.161988899295277591e-05,4.593254895137228232e+03
1.165285131781026596e-05,4.599891616586786768e+03
1.168590714742160047e-05,4.606547233354579475e+03
1.171905674703321393e-05,4.613221743900166075e+03
1.175230038264396190e-05,4.619915145566449610e+03
1.178563832100726571e-05,4.626627434558237837e+03
1.181907082963325370e-05,4.633358605920446280e+03
1.185259817679090090e-05,4.640108653515949300e+03
1.188622063151018552e-05,4.646877570003065557e+03
1.191993846358424890e-05,4.653665346812686948e+03
1.195375194357155545e-05,4.660471974125000997e+03
1.198766134279807293e-05,4.667297440845879464e+03
1.202166693335943911e-05,4.674141734582839490e+03
1.205576898812315054e-05,4.681004841620626394e+03
1.208996778073075468e-05,4.687886746896407203e+03
1.212426358560003692e-05,4.694787433974536725e+03
1.215865667792723132e-05,4.701706885020934351e+03
1.219314733368922463e-05,4.708645080777024305e+03
1.222773582964577379e-05,4.715602000533250248e+03
1.226242244334172178e-05,4.722577622102173336e+03
1.229720745310922703e-05,4.729571921791108252e+03
1.233209113807000123e-05,4.736584874374326319e+03
1.236707377813754047e-05,4.743616453064802045e+03
1.240215565401937831e-05,4.750666629485488556e+03
1.243733704721933552e-05,4.757735373640143735e+03
1.247261824003977996e-05,4.764822653883646126e+03
1.250799951558389154e-05,4.771928436891858837e+03
1.254348115775792889e-05,4.779052687630987748e+03
1.257906345127351801e-05,4.786195369326427681e+03
1.261474668164992916e-05,4.793356443431115622e+03
1.265053113521636717e-05,4.800535869593357347e+03
1.268641709911427372e-05,4.807733605624137454e+03
1.272240486129962785e-05,4.814949607463870052e+03
1.275849471054526177e-05,4.822183829148645600e+03
1.279468693644316819e-05,4.829436222775882925e+03
1.283098182940683638e-05,4.836706738469452830e+03
1.286737968067356972e-05,4.843995324344207802e+03
1.290388078230683364e-05,4.851301926469953287e+03
1.294048542719859343e-05,4.858626488834803240e+03
1.297719390907166731e-05,4.865968953307959055e+03
1.301400652248207777e-05,4.873329259601866397e+03
1.305092356282142162e-05,4.880707345233760861e+03
1.308794532631923822e-05,4.888103145486572430e+03
1.312507211004538463e-05,4.895452395601850185e+03
1.316230421191242250e-05,4.900425619200881556e+03
1.319964193067803215e-05,4.905411365236268466e+03
1.323708556594730292e-05,4.910409629323336048e+03
1.327463541817530308e-05,4.915420406445792651e+03
1.331229178866937697e-05,4.920443690945150593e+03
1.335005497959158956e-05,4.925479476510053246e+03
1.338792529396116082e-05,4.930527756165398387e+03
1.342590303565688481e-05,4.935588522261343314e+03
1.346398850941957428e-05,4.940661766462128071e+03
1.350218202085450852e-05,4.945747479734731314e+03
1.354048387643387458e-05,4.950845652337397951e+03
1.357889438349924395e-05,4.955956273807936668e+03
1.361741385026402049e-05,4.961079332951926517e+03
1.365604258581592565e-05,4.966214817830678840e+03
1.369478090011947686e-05,4.971362715749075505e+03
1.373362910401846766e-05,4.976523013243201603e+03
1.377258750923847320e-05,4.981695696067816243e+03
1.381165642838934056e-05,4.986880749183628723e+03
1.385083617496770269e-05,4.992078156744400076e+03
