94-Pu-238(n,total fission) ENDF/B-VII.1
1.0E-5,1117.18
1.31241E-5,975.158
1.70876E-5,854.576
2.2426E-5,745.929
2.91987E-5,653.677
3.83206E-5,570.544
4.98935E-5,499.962
6.54808E-5,436.354
8.52562E-5,382.351
1.11891E-4,333.671
1.45682E-4,292.33
1.91195E-4,255.075
2.48937E-4,223.424
3.26707E-4,194.88
4.25373E-4,170.633
5.58264E-4,148.759
7.26861E-4,130.173
9.53941E-4,113.387
0.00124203,99.1005
0.00163006,86.1937
0.00212234,75.1963
0.00278538,65.2384
0.00362657,56.7441
0.00497149,47.9883
0.00680278,40.3139
0.00885724,34.7154
0.012142,28.8338
0.0158747,24.3628
0.0207477,20.4149
0.024383,18.2577
0.0253,17.7872
0.033204,14.5645
0.041464,12.2503
0.0516848,10.1429
0.0648112,8.22673
0.0792892,6.72925
0.0969512,5.45798
0.113327,4.55907
0.132401,3.7752
0.154601,3.09762
0.18042,2.51675
0.211288,2.01572
0.24733,1.59917
0.289387,1.2635
0.330901,1.02162
0.377585,0.824969
0.431636,0.662796
0.483724,0.548317
0.557109,0.433601
0.622093,0.360946
0.694467,0.301059
0.781316,0.248206
0.882641,0.204626
0.993615,0.170954
1.10941,0.145325
1.26381,0.121575
1.45681,0.102064
1.64981,0.0895136
1.88141,0.081027
2.05511,0.0789576
2.18538,0.0806703
2.31565,0.0871694
2.4025,0.0966289
2.46764,0.108898
2.52192,0.125241
2.56535,0.145254
2.60274,0.170794
2.63458,0.202566
2.6645,0.246589
2.68814,0.297442
2.70841,0.359494
2.72722,0.441833
2.7417,0.531055
2.75545,0.649281
2.76727,0.792385
2.7774,0.963724
2.78609,1.16627
2.79405,1.4201
2.80201,1.76971
2.80961,2.23067
2.81721,2.86151
2.82421,3.63424
2.83193,4.73919
2.84061,6.31331
2.8657,11.7682
2.87574,13.2803
2.88473,13.7508
2.89426,13.2038
2.9043,11.6365
2.92939,6.20159
2.93856,4.57915
2.94616,3.52609
2.95303,2.78814
2.96063,2.17263
2.96751,1.75879
2.97474,1.43312
2.98343,1.14887
2.9926,0.93466
3.00273,0.764749
3.01455,0.623121
3.0283,0.506404
3.04278,0.418529
3.06063,0.341079
3.08089,0.279157
3.10574,0.226406
3.13324,0.186216
3.16533,0.153912
3.20345,0.127684
3.24687,0.107373
3.30236,0.0901005
3.36267,0.0776884
3.43505,0.0677518
3.53637,0.0588581
3.64252,0.0528793
3.81139,0.0469405
4.04299,0.0421813
4.42899,0.0378123
4.93078,0.0347598
5.74138,0.0324322
6.30471,0.0320161
7.07504,0.033177
7.59289,0.0358642
7.96574,0.0397051
8.23502,0.0443909
8.48359,0.0513284
8.69073,0.0605168
8.85644,0.0719477
9.00144,0.0871733
9.10501,0.103074
9.2047,0.124907
9.28626,0.150314
9.36005,0.182627
9.42349,0.221729
9.48434,0.274868
9.53612,0.33933
9.58143,0.41902
9.62286,0.522307
9.65911,0.650984
9.68759,0.792121
9.71478,0.979367
9.73886,1.21399
9.7575,1.4674
9.77304,1.75497
9.78909,2.16886
9.80204,2.63939
9.81498,3.30213
9.82586,4.08043
9.83622,5.09063
9.84657,6.45776
9.85693,8.29191
9.86781,10.8489
9.87946,14.4422
9.8924,19.572
9.90872,27.6221
9.94238,45.8937
9.95926,52.2291
9.97456,54.2851
9.98991,52.2916
10.0076,45.6302
10.0507,22.5719
10.0647,16.4694
10.0768,12.3211
10.0882,9.30246
10.0982,7.26728
10.1076,5.82849
10.1179,4.62161
10.1293,3.65355
10.1397,3.01048
10.1526,2.42637
10.1656,2.0072
10.1811,1.64422
10.1997,1.33494
10.2197,1.09817
10.2417,0.907315
10.2681,0.740451
10.2961,0.611481
10.3323,0.490793
10.3686,0.403953
10.4139,0.325702
10.4657,0.262556
10.5265,0.210639
10.5899,0.172546
10.6637,0.141148
10.7453,0.116539
10.8398,0.0963735
10.9486,0.0801505
11.0573,0.0686369
11.1868,0.0588196
11.3732,0.0492607
11.57,0.042638
11.8289,0.0369762
12.1914,0.0322575
12.6678,0.0289035
13.2064,0.0271147
13.8128,0.0265175
14.4193,0.027069
15.1324,0.0294273
15.6772,0.0331279
16.0912,0.0380626
16.4079,0.0440047
